apk_filename,store,requested_permissions_count,custom_permissions_count,activities_all,activities_exported,services_all,services_exported,receivers_all,receivers_exported,providers_all,providers_exported,perms_added,perms_absent
Booking.com.apk,Google Play,48,4,304,64,39,3,28,7,10,0,android.permission.DOWNLOAD_WITHOUT_NOTIFICATION; android.permission.HIDE_OVERLAY_WINDOWS; android.permission.POST_PROMOTED_NOTIFICATIONS; android.permission.READ_MEDIA_IMAGES; android.permission.RECORD_AUDIO; android.permission.USE_BIOMETRIC; android.permission.USE_FINGERPRINT; manifest.permission.CAMERA,android.permission.REQUEST_INSTALL_PACKAGES; com.asus.msa.SupplementaryDID.ACCESS; com.booking.permission.PROCESS_PUSH_MSG; com.booking.permission.PUSH_PROVIDER; com.huawei.android.launcher.permission.CHANGE_BADGE; com.vivo.identifier.permission.OAID_STATE_DIALOG; freemme.permission.msa; freemme.permission.msa.SECURITY_ACCESS; oplus.permission.settings.LAUNCH_FOR_EXPORT
Booking.com.apk,RuStore,49,7,314,64,46,4,32,9,16,1,android.permission.REQUEST_INSTALL_PACKAGES; com.asus.msa.SupplementaryDID.ACCESS; com.booking.permission.PROCESS_PUSH_MSG; com.booking.permission.PUSH_PROVIDER; com.huawei.android.launcher.permission.CHANGE_BADGE; com.vivo.identifier.permission.OAID_STATE_DIALOG; freemme.permission.msa; freemme.permission.msa.SECURITY_ACCESS; oplus.permission.settings.LAUNCH_FOR_EXPORT,android.permission.DOWNLOAD_WITHOUT_NOTIFICATION; android.permission.HIDE_OVERLAY_WINDOWS; android.permission.POST_PROMOTED_NOTIFICATIONS; android.permission.READ_MEDIA_IMAGES; android.permission.RECORD_AUDIO; android.permission.USE_BIOMETRIC; android.permission.USE_FINGERPRINT; manifest.permission.CAMERA
Duolingo.apk,Google Play,40,1,228,6,19,4,22,3,12,1,android.permission.DETECT_SCREEN_CAPTURE; android.permission.MODIFY_AUDIO_SETTINGS; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.USE_BIOMETRIC; android.permission.USE_FINGERPRINT; android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_MEDIA_IMAGES; com.google.android.providers.gsf.permission.READ_GSERVICES
Duolingo.apk,RuStore,36,1,143,4,18,5,19,3,10,1,android.permission.READ_MEDIA_IMAGES; com.google.android.providers.gsf.permission.READ_GSERVICES,android.permission.DETECT_SCREEN_CAPTURE; android.permission.MODIFY_AUDIO_SETTINGS; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.USE_BIOMETRIC; android.permission.USE_FINGERPRINT; android.permission.WRITE_EXTERNAL_STORAGE
imo.apk,Google Play,87,5,529,17,51,13,41,17,7,2,,
imo.apk,RuStore,87,5,529,17,51,12,40,17,7,2,,
MAPS.ME.apk,Google Play,29,2,28,4,18,3,15,3,8,1,,
MAPS.ME.apk,RuStore,29,2,28,4,18,3,15,3,8,1,,
Spotify.apk,Google Play,51,4,85,16,43,12,34,11,8,1,android.permission.NEARBY_WIFI_DEVICES,
Spotify.apk,RuStore,50,4,87,16,40,10,32,11,7,1,,android.permission.NEARBY_WIFI_DEVICES
