region,category,pair_id,app_name,package,androzoo_in_latest,androzoo_markets,androzoo_has_play,androzoo_best_play_vercode,androzoo_best_play_sha256,play_http_status,play_live_available,rustore_http_status,rustore_live_available
ru,transport_maps,maps,Yandex Maps,ru.yandex.yandexmaps,1,1mobile|PlayDrone|angeeks|appchina|play.google.com|proandroid|torrents,1,738798720,899FEA0EBC3F624C8BE992EA5FE1B9DD412DDF8E831F31E94151A59EBA734384,200,1,200,1
eu,transport_maps,maps,Google Maps,com.google.android.apps.maps,1,PlayDrone|VirusShare|angeeks|anzhi|apk_bang|appchina|freewarelovers|hiapk|play.google.com|torrents,1,1068414381,35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,200,1,404,0
ru,transport_taxi,taxi,Yandex Go Taxi,ru.yandex.taxi,1,1mobile|PlayDrone|anzhi|appchina|play.google.com,1,50127705,8287C5937FC7DA4A35602D3AABA2ECD2045389DE0CBC84899326C55326832958,200,1,200,1
eu,transport_taxi,taxi,Bolt,ee.mtakso.client,1,PlayDrone|play.google.com,1,4020,B6101DA1A808E1DE0FFB8FFBBA7CEF2229E7DE08AA5D10AA6DE37D629CDF142F,200,1,200,1
ru,transport_rail,rail1,RZD,ru.rzd.pass,1,play.google.com,1,5000,F82235296527716D0EFC61D2B5395DE977274E9D91252EBCB932A66276344383,200,1,200,1
eu,transport_rail,rail1,DB Navigator,de.hafas.android.db,1,PlayDrone|angeeks|anzhi|appchina|freewarelovers|play.google.com,1,240000570,36619D4E2EA10AED11E8C77866ED5D167425548B1AD2C6D1EFF2850CA747A7AE,200,1,404,0
ru,transport_rail,rail2,Yandex Trains,ru.yandex.rasp,1,1mobile|PlayDrone|play.google.com|proandroid,1,35000044,63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,200,1,200,1
eu,transport_rail,rail2,Mobiliteit.lu,de.hafas.android.cdt,1,appchina|play.google.com,1,1000630,0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,200,1,200,1
ru,ecom_1,ecom1,Ozon,ru.ozon.app.android,1,PlayDrone|appchina|play.google.com,1,2648,035B74D8B9E2838F2C12B8524E44FDB4161FCACE63902580F9538855B4136FAE,200,1,200,1
eu,ecom_1,ecom1,Amazon Shopping,com.amazon.mShop.android.shopping,1,VirusShare|appchina|play.google.com,1,1241309016,54FE2B7D1A0A2D38D80AED770DA7AAE620DD6BF556D072DF31CCB32F33A68B7A,200,1,404,0
ru,ecom_2,ecom2,Wildberries,com.wildberries.ru,1,PlayDrone|play.google.com,1,10060970,D8885060ADB877C9B12D331FE919192A45BC036AC163F2E794841FA590B2B588,200,1,200,1
eu,ecom_2,ecom2,Zalando,de.zalando.mobile,1,play.google.com,1,1185,539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,200,1,404,0
ru,ecom_3,ecom3,Yandex Market,ru.beru.android,1,play.google.com,1,360830,9A07C0BBA5BC8E5A59230DA0853616327528FB7ED4FB29FFD814F9600231A98E,200,1,200,1
