groupId,artifactId,usages,page
com.google.android.gms,play-services-ads,823,p1
com.google.android.gms,play-services-ads-identifier,794,p1
com.unity3d.ads,unity-ads,108,p1
com.google.ads.interactivemedia.v3,interactivemedia,93,p1
com.yandex.android,mobileads,67,p1
com.google.ads.mediation,facebook,50,p1
com.google.ads.mediation,applovin,48,p1
com.google.ads.mediation,unity,42,p1
com.unity3d.ads-mediation,mediation-sdk,41,p1
com.vungle,vungle-ads,37,p1
io.bidmachine,ads.networks.vungle,5,p10
io.github.benkkstudios.ads,core,9,p10
io.github.benkkstudios.ads,shared,9,p10
com.google.firebase,firebase-ads-lite,8,p10
androidx.privacysandbox.ads,ads-adservices,5,p10
com.google.ads.mediation,line,4,p10
com.google.android.gms,play-services-ads-api,4,p10
com.appodeal.ads.sdk-impression-drop,core,26,p10
com.huawei.hms,ads-base,4,p10
com.huawei.hms,ads-base-prime,4,p10
com.naver.ads,nas-deferred,4,p11
com.naver.ads,nas-video,4,p11
io.bidmachine,ads.networks.gam,4,p11
net.pubnative,hybid.adapters.admob,4,p11
com.google.api-ads,dfp-axis,5,p11
io.github.dkimitsa.robovm,robopods-firebase-google-mobile-ads-ios,5,p11
io.github.dkimitsa.robovm,robopods-google-mobile-ads-ios,5,p11
co.ogury,ogury-mediation-admob,3,p11
com.appnext.sdk,native-ads,6,p11
com.appnext.sdk,native-ads2,6,p11
com.bigossp,bigo-ads-lite,6,p12
com.bigossp,bigo-ads-spec-lite,6,p12
com.blueseasx,bluesea-ads,3,p12
com.google.ads.mediation,moloco,3,p12
com.google.android.libraries.ads.mobile.sdk,ads-mobile-sdk,3,p12
com.huawei.hms,ads-prime,3,p12
com.mi.ads,columbus-sdk,3,p12
com.mobilefuse.sdk,mobilefuse-adapter-admob,3,p12
com.naver.ads,nas-webview,3,p12
com.inmobi.monetization,inmobi-ads,64,p12
com.inmobi.omsdk,inmobi-omsdk,64,p12
com.yandex.ads.adapter,admob-mobileads,3,p13
io.adrop,adrop-ads,3,p13
io.bidmachine,ads.adapters.admob,3,p13
io.bidmachine,ads.networks.mintegral,3,p13
androidx.privacysandbox.ads,ads-adservices-java,3,p13
com.amazon.android,aps-admob-adapter,3,p13
com.appier,ads-android,3,p13
com.appodeal.ads.sdk-merge-inter,core,17,p13
com.appodeal.ads.sdk-ui-thread,core,17,p13
co.ogury.module,ogury-ads,2,p13
com.anythink.sdk,adapter-admob,2,p14
com.blueseasx,bsx-ads,2,p14
com.broadsolutionsgroup,bs-ads-analytics,2,p14
com.huawei.hms,ads-jsbridge,2,p14
com.huawei.hms,ads-lang,2,p14
com.huawei.hms,ads-native,2,p14
com.huawei.hms,ads-native-prime,2,p14
com.huawei.hms,ads-reward,2,p14
com.huawei.hms,ads-reward-prime,2,p14
com.codenameone,admob-fullscreen-common,6,p14
com.naver.ads,nas-video-exoplayer,2,p15
io.start,unity-ads-mediation,3,p15
