region,prefix,apps_with_prefix,in_which_APKs
ru,com.google.android.gms.ads,18,Alfa Bank;Avito;EMIAS.INFO;Gosuslugi;Nalogi FL;OK;Ozon;RZD;Sberbank;Tinkoff;VK;VTB;Wildberries;Yandex Go Taxi;Yandex Maps;Yandex Market;Yandex Telemost;Yandex Trains
eu,com.google.android.gms.ads,11,Amazon Shopping;BGL;BILnet;Bolt;DB Navigator;Revolut;Vinted;X;Zalando;bol;itsme
eu,androidx.privacysandbox.ads.adservices,8,BGL;BILnet;Bolt;Revolut;Vinted;X;Zalando;bol
ru,androidx.privacysandbox.ads.adservices,7,Avito;Gosuslugi;OK;RZD;Wildberries;Yandex Go Taxi;Yandex Maps
ru,androidx.ads.identifier,2,OK;VK
eu,com.applovin.mediation.adapter,1,Vinted
eu,com.vungle.ads,1,Vinted
ru,com.applovin.mediation.adapter,1,OK
ru,com.google.ads.mediation.facebook,1,OK
ru,com.google.ads.mediation.mintegral,1,OK
ru,com.google.ads.mediation.moloco,1,OK
ru,com.google.ads.mediation.pangle,1,OK
ru,com.google.ads.mediation.vungle,1,OK
ru,com.huawei.hms.ads,1,Sberbank
ru,com.vungle.ads,1,OK
