groupId,artifactId,usages,page
com.google.firebase,firebase-analytics,238,p1
com.google.android.gms,play-services-analytics,267,p1
com.atlassian.analytics,analytics-api,171,p1
org.wso2.carbon.analytics-common,org.wso2.carbon.databridge.commons,112,p1
com.google.firebase,firebase-analytics-ktx,97,p1
org.wso2.carbon.analytics-common,org.wso2.carbon.databridge.agent,79,p1
com.google.android.gms,play-services-analytics-impl,96,p1
com.segment.analytics.kotlin,android,43,p1
com.atlassian.analytics,analytics-client,41,p1
org.wso2.carbon.analytics-common,org.wso2.carbon.event.stream.core,50,p1
io.github.the-best-is-best,kfirebase-analytics-iosarm64,6,p10
io.github.the-best-is-best,kfirebase-analytics-iossimulatorarm64,6,p10
io.github.the-best-is-best,kfirebase-analytics-iosx64,6,p10
com.segment.analytics.kotlin,substrata,4,p10
org.wso2.carbon.analytics,org.wso2.carbon.si.metrics.core,8,p10
org.wso2.carbon.analytics,org.wso2.carbon.streaming.integrator.core,8,p10
com.github.avohq,android-analytics-debugger,5,p10
org.apache.cassandra,cassandra-analytics-common,6,p10
io.appmetrica.analytics,analytics-location-api,4,p10
org.finos.legend.engine,legend-engine-xt-analytics-mapping-protocol,6,p10
org.finos.legend.engine,legend-engine-xt-relationalStore-store-entitlement-analytics,6,p11
org.wso2.carbon.analytics-common,org.wso2.carbon.event.statistics,6,p11
software.amazon.awssdk,iotanalytics,4,p11
software.amazon.awssdk,kinesisanalyticsv2,4,p11
com.aiuta,fashionsdk-internal-analytics,5,p11
com.aiuta,fashionsdk-internal-analytics-iosarm64,5,p11
com.aiuta,fashionsdk-internal-analytics-iossimulatorarm64,5,p11
com.aiuta,fashionsdk-internal-analytics-iosx64,5,p11
com.aiuta,fashionsdk-internal-analytics-jvm,5,p11
com.atlassian.analytics,analytics-client-s3,5,p11
com.fillr,fillr-analytics,23,p12
com.google.analytics,google-analytics-data,5,p12
com.semanticcms,semanticcms-google-analytics,5,p12
org.wso2.carbon.analytics,org.wso2.carbon.business.rules.templates.editor.core.feature,7,p12
org.wso2.carbon.analytics,org.wso2.carbon.si.metrics.core.feature,7,p12
co.pango,sdk-analytics,3,p12
co.pango,sdk-ucr-analytics,3,p12
com.adobe.marketing.mobile,analytics,6,p12
com.atlassian.crowd,crowd-analytics-plugin,3,p12
org.aksw.jenax,jenax-analytics-core,6,p12
io.journify.analytics.kotlin,android,6,p13
com.truelayer.payments,analytics,3,p13
org.wso2.carbon.analytics-common,org.wso2.carbon.event.application.deployer,5,p13
org.wso2.carbon.analytics-common,org.wso2.carbon.event.output.adapter.email,5,p13
org.wso2.carbon.apimgt,org.wso2.carbon.apimgt.common.analytics,5,p13
io.appmetrica.analytics,analytics-common-logger,3,p13
io.appmetrica.analytics,analytics-network-api,3,p13
com.aiuta,fashionsdk-analytics-events,4,p13
com.aiuta,fashionsdk-analytics-events-iosarm64,4,p13
com.aiuta,fashionsdk-analytics-events-iossimulatorarm64,4,p13
com.aiuta,fashionsdk-analytics-events-iosx64,4,p14
com.aiuta,fashionsdk-analytics-events-jvm,4,p14
com.aiuta,fashionsdk-internal-analytics-js,4,p14
com.aiuta,fashionsdk-internal-analytics-wasm-js,4,p14
org.wikimedia.analytics.refinery.core,refinery-core,6,p14
org.wso2.carbon.analytics,org.wso2.carbon.si.coordination.listener.feature,6,p14
com.oracle.oci.sdk,oci-java-sdk-analytics,4,p14
com.oracle.oci.sdk,oci-java-sdk-loganalytics,4,p14
org.wso2.carbon.analytics-common,org.wso2.carbon.analytics.idp.client,26,p14
com.sensorsdata.analytics.javasdk,SensorsAnalyticsSDK,5,p14
io.privy,kmp-client-analytics-id-public,4,p15
io.privy,kmp-client-analytics-id-public-iosarm64,4,p15
io.privy,kmp-client-analytics-id-public-iossimulatorarm64,4,p15
io.privy,kmp-client-analytics-id-public-iosx64,4,p15
io.privy,kmp-client-analytics-id-public-jvm,4,p15
io.quarkus,quarkus-analytics-common,4,p15
com.github.AnchorFreePartner.hydra-sdk-android,sdk-analytics,3,p15
com.github.AnchorFreePartner.hydra-sdk-android,ucr-analytics,3,p15
com.google.apis,google-api-services-analytics,23,p15
com.atlassian.confluence.plugins,confluence-periodic-analytics-events,2,p15
org.wso2.carbon.analytics-common,org.wso2.carbon.event.output.adapter.core,46,p2
org.wso2.carbon.analytics-common,org.wso2.carbon.databridge.commons.thrift,43,p2
org.wso2.carbon.analytics-common,org.wso2.carbon.databridge.core,36,p2
io.appmetrica.analytics,analytics-core-utils,25,p2
io.appmetrica.analytics,analytics-logger,25,p2
co.touchlab.skie,analytics-jvm,41,p2
org.wso2.carbon.analytics-common,org.wso2.carbon.databridge.commons.binary,32,p2
com.sygic.kit.providers,analytics,21,p2
