groupId,artifactId,usages,page
org.apache.httpcomponents.client5,httpclient5,455,p1
com.squareup.okhttp3,okhttp,894,p1
org.apache.httpcomponents,httpclient,375,p1
org.apache.httpcomponents.core5,httpcore5,4,p1
com.squareup.retrofit2,retrofit,544,p1
io.netty,netty-all,405,p1
com.github.mwiede,jsch,169,p1
io.netty,netty-handler,973,p1
io.netty,netty-buffer,798,p1
io.airlift,http-client,76,p10
io.ktor,ktor-server-netty,121,p10
io.netty,netty-transport-udt,121,p10
org.apache.camel,camel-ftp,88,p10
org.springframework.cloud,spring-cloud-loadbalancer,119,p10
com.github.seancfoley,ipaddress,84,p10
org.apache.sshd,sshd-common,109,p10
io.netty,netty-bom,77,p10
org.apache.arrow,arrow-memory-netty,127,p10
org.wildfly.core,wildfly-network,103,p10
io.projectreactor.netty,reactor-netty-core,102,p11
org.apache.httpcomponents,httpasyncclient,10,p11
org.jenkins-ci.plugins,ssh-credentials,87,p11
io.netty,netty-tcnative-classes,95,p11
org.eclipse.jgit,org.eclipse.jgit.ssh.apache,94,p11
org.elasticsearch.plugin,transport-netty4-client,114,p11
org.apache.sshd,sshd-scp,91,p11
org.playframework,play-ahc-ws-standalone,7,p11
io.ktor,ktor-network,85,p11
org.eclipse.jetty.websocket,websocket-jetty-client,77,p11
org.jboss.resteasy,resteasy-netty4,53,p12
com.bihe0832.android,lib-device-network,58,p12
com.konghq,unirest-java,278,p12
com.konghq,unirest-java-core,278,p12
io.quarkus,quarkus-netty,78,p12
io.quarkus,quarkus-netty-deployment,77,p12
org.snmp4j,snmp4j-agent,56,p12
io.micronaut,micronaut-http-server-netty,74,p12
com.restfb,restfb,54,p12
com.bytedance.frameworks.baselib.gsdk.transplanted,network,53,p12
com.android.volley,volley,576,p12
org.apache.camel,camel-netty,34,p13
org.opendaylight.netconf,odl-restconf,70,p13
org.apache.sshd,sshd-osgi,51,p13
com.sygic.kit.providers,networking,47,p13
me.proton.core,network-domain,64,p13
org.springframework.boot,spring-boot-starter-reactor-netty,62,p13
org.igniterealtime.smack,smack-tcp,76,p13
io.coil-kt.coil3,coil-network-ktor3-android,55,p13
io.netty.incubator,netty-incubator-transport-native-io_uring,100,p13
org.twitter4j,twitter4j-core,205,p13
io.netty,netty-codec-base,56,p14
org.apache.dubbo,dubbo-remoting-netty4,45,p14
org.wso2.transport.http,org.wso2.transport.http.netty,32,p14
me.proton.core,network-data,38,p14
io.rsocket,rsocket-transport-netty,88,p14
org.springframework.integration,spring-integration-ftp,37,p14
org.eclipse.jetty.websocket,jetty-websocket-jetty-client,36,p14
io.quarkiverse.amazonservices,quarkus-amazon-netty-client-internal-deployment,48,p14
io.coil-kt.coil3,coil-network-ktor3,59,p14
com.corundumstudio.socketio,netty-socketio,47,p14
com.jcabi,jcabi-http,34,p15
org.jenkins-ci.plugins,ssh-slaves,34,p15
org.playframework.netty,netty-reactive-streams,1,p15
org.opendaylight.netconf,features-restconf,76,p15
org.springframework.integration,spring-integration-sftp,44,p15
io.netty,netty-transport-native-io_uring,43,p15
com.bytedance.frameworks.baselib.gsdk.transplanted,network-cronet,31,p15
com.jetbrains.intellij.platform,ide-util-netty,42,p15
io.ktor,ktor-network-iosarm64,42,p15
org.apache.camel,camel-netty-http,42,p15
io.netty,netty-transport,611,p2
io.netty,netty-codec-http,317,p2
io.netty,netty-common,529,p2
com.typesafe.akka,akka-http,940,p2
io.netty,netty-codec,178,p2
org.apache.httpcomponents,httpcore,759,p2
org.apache.httpcomponents.core5,httpcore5,759,p2
io.grpc,grpc-netty-shaded,245,p2
org.asynchttpclient,async-http-client,467,p2
io.github.openfeign,feign-core,749,p2
io.netty,netty-transport-native-epoll,77,p2
io.grpc,grpc-netty,41,p3
com.google.http-client,google-http-client,801,p3
org.eclipse.jetty,jetty-client,763,p3
org.playframework,play-ws,8,p3
jakarta.websocket,jakarta.websocket-api,312,p3
org.apache.mina,mina-core,701,p3
io.netty,netty-codec-http2,575,p3
org.apache.sshd,sshd-core,553,p3
org.apache.httpcomponents.core5,httpcore5-h2,550,p3
io.netty,netty-tcnative-boringssl-static,651,p4
org.playframework,play-netty-server,5,p4
io.netty,netty-resolver,593,p4
org.java-websocket,Java-WebSocket,707,p4
io.vertx,vertx-web-client,429,p4
org.springframework,spring-websocket,425,p4
io.netty,netty-handler-proxy,484,p4
io.netty,netty-transport-native-kqueue,470,p4
io.projectreactor.netty,reactor-netty,367,p4
io.netty,netty-resolver-dns,344,p5
com.konghq,unirest-java-core,60,p5
io.netty,netty-transport-native-unix-common,422,p5
org.apache.tomcat.embed,tomcat-embed-websocket,318,p5
com.softwaremill.sttp.client4,core,90,p5
org.springframework.cloud,spring-cloud-starter-loadbalancer,383,p5
org.http4k,http4k-core,285,p5
org.http4s,http4s-core,282,p5
com.hierynomus,sshj,262,p5
io.netty,netty-codec-socks,266,p5
io.netty,netty-resolver-dns-native-macos,259,p6
org.eclipse.jetty.websocket,websocket-client,287,p6
io.netty,netty-transport-classes-epoll,299,p6
io.netty,netty-codec-dns,199,p6
software.amazon.awssdk,netty-nio-client,267,p6
com.squareup.okhttp3,okhttp-sse,195,p6
org.apache.sshd,sshd-sftp,191,p6
com.typesafe.play,play-ws,754,p6
org.playframework,play-ws,754,p6
org.apache.httpcomponents,fluent-hc,759,p6
io.netty,netty-codec-haproxy,177,p7
io.netty,netty-codec-mqtt,175,p7
org.apache.pekko,pekko-http,168,p7
io.projectreactor.netty,reactor-netty-http,221,p7
com.lihaoyi,requests,164,p7
com.facebook.android,audience-network-sdk,162,p7
org.jmdns,jmdns,84,p7
io.dropwizard,dropwizard-client,130,p7
org.snmp4j,snmp4j,135,p7
io.ktor,ktor-server-netty-jvm,181,p7
com.azure,azure-core-http-netty,180,p8
io.netty,netty-resolver-dns-classes-macos,132,p8
io.netty,netty-transport-classes-kqueue,178,p8
io.micronaut.oraclecloud,micronaut-oraclecloud-httpclient-netty,176,p8
io.netty,netty-codec-stomp,125,p8
io.netty,netty-codec-redis,122,p8
org.eclipse.jetty.websocket,websocket-api,151,p8
io.netty,netty-codec-memcache,116,p8
io.netty,netty-codec-smtp,116,p8
io.netty,netty-codec-xml,113,p8
com.typesafe.play,play-netty-server,625,p9
org.playframework,play-netty-server,625,p9
org.apache.maven.wagon,wagon-ssh,498,p9
org.mock-server,mockserver-netty,498,p9
org.apache.ftpserver,ftpserver-core,175,p9
io.ktor,ktor-network-jvm,135,p9
io.netty,netty-tcnative,132,p9
com.softwaremill.sttp.client3,core,228,p9
com.softwaremill.sttp.client4,core,228,p9
io.netty,netty-transport-rxtx,126,p9
io.netty,netty-transport-sctp,124,p9
org.eclipse.jgit,org.eclipse.jgit.ssh.jsch,124,p9
