groupId,artifactId,usages,page
com.alipay.sdk,alipay-sdk-java,198,p1
com.alipay.sofa,hessian,95,p1
com.github.binarywang,weixin-java-pay,86,p1
com.alipay.sofa.common,sofa-common-tools,104,p1
com.alipay.android.inside,baselib,71,p1
com.alipay.sofa,bolt,63,p1
com.alipay.android.phone.mobilesdk,framework-build,63,p1
com.alipay.android.phone.mobilesdk,quinox-build,62,p1
com.alipay.sofa,jraft-core,58,p1
com.alipay.android.phone.mobilesdk,logging-build,58,p1
com.github.stripe.stripe-android,payments-core,10,p10
me.proton.core,payment-domain,14,p10
com.yandex.pay.inapps,core-strings,12,p10
com.yandex.pay.inapps,core-typography,12,p10
com.alipay.sofa,sofa-boot-autoconfigure,12,p10
com.yandex.pay.inapps,core-navigation,11,p10
com.braintreepayments.api,paypal,8,p10
com.alipay.sofa,sofa-ark-common,14,p10
com.yandex.pay,core-models,8,p10
com.bytedance.ttgame,alipay,14,p10
com.yandex.pay.inapps,core-mvi,10,p11
com.yandex.pay.inapps,core-widgets,10,p11
me.proton.core,payment-presentation,8,p11
com.alipay.android.phone.mobilesdk,tianyanadapter-build,13,p11
com.alipay.cloud,sofa-service-governance-core,10,p11
com.badlogicgames.gdxpay,gdx-pay-client,10,p11
io.github.javpower,pay-java-common,10,p11
com.yandex.pay,core-auth,7,p11
com.yandex.pay,core-finances,7,p11
com.alipay.android.phone.mobilesdk,amnet-build,12,p11
com.alipay.android.phone.wallet,nebulaucsdk-build,8,p12
com.alipay.sofa,sofa-ark-all,11,p12
com.yandex.pay.inapps,core-network,8,p12
com.alipay.android.phone.mobilesdk,ipc-build,11,p12
com.alipay.sofa,registry-client-all,15,p12
com.yandex.pay,feature-auth-api,6,p12
in.payu,native-otp-reader,6,p12
io.github.airwallex,payment-ui-core,6,p12
com.alipay.sofa,isle-sofa-boot,8,p12
com.egzosn,pay-java-ali,8,p12
com.egzosn,pay-java-wx,8,p13
com.alipay.sofa.koupleless,koupleless-common,10,p13
com.alipay.android.phone.wallet,apble-build,10,p13
com.paypal.butterfly,butterfly-extensions-api,10,p13
com.yandex.pay.inapps,core-finances,7,p13
com.bytedance.ttgame,lenovo_alipay,13,p13
com.github.stripe.stripe-android,payments-ui-core,5,p13
com.alipay.sofa,healthcheck-sofa-boot,9,p13
com.alipay.sofa,sofa-ark-springboot-starter,9,p13
com.alipay.cloud,spring-cloud-starter-sofa-health,7,p13
com.alipay.sofa,rpc-sofa-boot,7,p14
com.alipay.sofa,sofa-boot-starter,7,p14
com.paypal.android,core-payments,5,p14
com.alipay.android.phone.mobilesdk,socketcraft-build,9,p14
com.alipay.xmedia,mediaadapter-build,9,p14
com.bytedance.caijing.gsdk.transplanted,base-pay-wxpay,9,p14
com.yandex.pay,core-adapter-delegates,5,p14
com.yandex.pay,core-analytics,5,p14
io.kronor.component,webview_payment_gateway,5,p14
com.alipay.sofa,registry-common-util,12,p14
com.yandex.pay,core-remoteconfig,6,p15
com.rivigo.vyom.payment,client,12,p15
org.jumpmind.pos,commerce-pay,7,p15
com.alipay.sofa,sofa-ark-container,8,p15
com.alipay.sofa,sofa-tracer-datasource-plugin,8,p15
com.alipay.sofa,sofa-tracer-resttmplate-plugin,8,p15
com.alipay.sofa,sofa-tracer-springmvc-plugin,8,p15
tech.amwal.payment,core-common,9,p15
tech.amwal.payment,core-domain,9,p15
com.bytedance.ttgame,gsdk__library__wrapper_pay__cn__release,8,p15
com.alipay.sofa,tracer-core,55,p2
com.alipay.android.phone.mobilesdk,common-build,55,p2
com.alipay.sdk,alipaysdk-android,31,p2
com.yandex.pay,core-utils,30,p2
com.alipay.android.phone.mobilesdk,commonservice-build,51,p2
com.alipay.sofa,sofa-rpc-all,39,p2
com.alipay.android.phone.mobilecommon,multimedia-build,48,p2
