pkg_name,vercode,sha256,apk_size,dex_date,vt_detection,vt_scan_date,markets
com.revolut.revolut,1011409134,4639F77FE0014B8709F2A0A428665AB769AA2CBF0FD94161941EF6CB77FA154D,91959762,1981-01-01 01:01:02,,,play.google.com
com.bil.android,1289,F6433149E57CAA6551873324018736E03A4F5FD598B2FC3D6A1098EBAC29AF2B,35996683,1981-01-01 01:01:02,0,2026-01-24 09:04:41,play.google.com
com.ing.lu.mobile,82,C43F18067802A90DA14D6CE8D0622782C8A594D8896B44994A32EC2E40EF409B,4033423,1981-01-01 01:01:02,0,2025-03-06 07:46:50,play.google.com
lu.bgl.spm.retail,458,E81541FB320BC58427611D50F6840C98F0D67D1AFD0B259342D996FB5BA03D66,43076689,1981-01-01 01:01:02,,,play.google.com
com.facebook.katana,468015008,AF94CFC4463207594EEBEDEBEE47C5B2455F38BA3611988785FFFBCD87B85302,73941975,1985-02-01 00:00:00,,,play.google.com
com.twitter.android,311610000,CEEDC4D662EE8DA8E631F990D81074DD344E4AAC66A03DA66785872072B95AEB,63564557,1981-01-01 01:01:02,,,play.google.com
com.whatsapp,260379000,3AEAD4E3997767D098B6B77592AA056E7CDB06C1DA74A056A1397D0761D20CA1,61114861,1981-01-01 01:01:02,,,play.google.com
org.telegram.messenger,63852,0B387F643423A3F4F9D5D6708A2B05E3E72B5C0147D040D5D3BA40F128FB9F7F,153042259,1981-01-01 01:01:02,,,play.google.com
lu.etat.fp.gun.android,1103,36098542A5109843B1517F0F2B3667CB3EA0A84AD3B60E2DA658F5A398D3EE31,24503263,1981-01-01 01:01:02,0,2025-10-07 18:37:10,play.google.com
be.bmid.itsme,1766405119,003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,33578343,1981-01-01 01:01:02,0,2025-12-30 16:33:04,play.google.com
fr.gouv.franceidentite,1034651,AD270E90013B0BB30516423E7EF6449F5E7FF67C8E8069AF7BA1EB7C6CA8F0B0,21800687,1981-01-01 01:01:02,0,2025-09-13 08:53:28,play.google.com
goodsoft.pl.doctenalu,56,4A8C965A2C484F664CD4B426BE9F10A40BFF2EBE667A3983F889277BCC1B4C8E,7639859,1981-01-01 01:01:02,0,2025-08-14 18:47:52,play.google.com
com.amazon.mShop.android.shopping,1241309016,54FE2B7D1A0A2D38D80AED770DA7AAE620DD6BF556D072DF31CCB32F33A68B7A,51602532,1981-01-01 01:01:02,,,play.google.com
de.zalando.mobile,1185,539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,40981276,1981-01-01 01:01:02,,,play.google.com
fr.vinted,260401,CA9CE3BA252AD0530AABAE16F6CEAF1206C10D352631AECE6C704790F1C285D8,74192822,1981-01-01 01:01:02,,,play.google.com
com.bol.shop,415277,D112060FE3DFE0438C210E30CE90669EC9D3EC5AF97D4EDE7BBA46D9A3FC672B,26818234,1981-01-01 01:01:02,,,play.google.com
com.google.android.apps.maps,1068414381,35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,37661820,1981-01-01 01:01:02,,,play.google.com
de.hafas.android.db,240000570,36619D4E2EA10AED11E8C77866ED5D167425548B1AD2C6D1EFF2850CA747A7AE,23898262,1981-01-01 01:01:02,,,play.google.com
de.hafas.android.cdt,1000630,0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,18147087,1981-01-01 01:01:02,0,2025-05-02 06:08:44,play.google.com
ee.mtakso.client,4020,B6101DA1A808E1DE0FFB8FFBBA7CEF2229E7DE08AA5D10AA6DE37D629CDF142F,40835952,1981-01-01 01:01:02,,,play.google.com
fr.gouv.finances.smartphone.android,199,20E4DD695F2E2358736AFD226911EDF1ACA7E988AEC3E33005B7FB22D13BE10C,20765279,1981-01-01 01:01:02,,,play.google.com
com.governikus.ausweisapp2,285,1066F2FE03A170DE740861DD3396A5227DBB4867802FE657E34B2120222E2A50,52696499,1981-01-01 01:01:02,,,play.google.com
