pkg_name,vercode,sha256,apk_size,dex_date,vt_detection,vt_scan_date,markets
com.vkontakte.android,47685,9ABDD8774B2E0C00698B07B7B8094D887FB655AAA121D7E9A6971D026574DB9D,76172667,1981-01-01 01:01:02,,,play.google.com
ru.ok.android,26012700,79346FD056ECA0CD976AD61F4C39BDC60942BBBE88DB90F5BD502039328E6691,123680183,1981-01-01 01:01:02,,,play.google.com
ru.rostel,9150,E80E01FAC8C0DBFF5281E293C218550283DAD17A2B6A72A4F4CE00482212746B,98470897,1981-01-01 01:01:02,0,2026-01-03 02:46:16,play.google.com
ru.sigma.gisgkh,706,220508F2D64BA0B98B41DD822F02192FAAAD00B2AAE5E8DF9916D7D178109A3D,35058148,1981-01-01 01:01:02,0,2026-01-25 10:56:19,play.google.com
ru.fns.lkfl,15026117,69246362D31AADEB38D0EA1DD697A2D2AE02AC17503322CE9E1A99898C048A0B,16610592,1981-01-01 01:01:02,,,play.google.com
com.programmisty.emiasapp,176908950,73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,131361765,1981-01-01 01:01:02,,,play.google.com
ru.ozon.app.android,2648,035B74D8B9E2838F2C12B8524E44FDB4161FCACE63902580F9538855B4136FAE,62085989,1981-01-01 01:01:02,,,play.google.com
com.wildberries.ru,10060970,D8885060ADB877C9B12D331FE919192A45BC036AC163F2E794841FA590B2B588,116547109,1981-01-01 01:01:02,,,play.google.com
ru.beru.android,360830,9A07C0BBA5BC8E5A59230DA0853616327528FB7ED4FB29FFD814F9600231A98E,43251316,1981-01-01 01:01:02,,,play.google.com
se.scmv.morocco,1497,9C78EAC7EFB8C59C5A77219D3BD99495C854D70712F66B44F940A90131AFB929,52115471,1981-01-01 01:01:02,0,2025-10-03 08:03:45,play.google.com
ru.yandex.yandexmaps,738798720,899FEA0EBC3F624C8BE992EA5FE1B9DD412DDF8E831F31E94151A59EBA734384,82854764,1981-01-01 01:01:02,0,2026-01-17 01:42:22,play.google.com
ru.yandex.rasp,35000044,63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,24838709,1981-01-01 01:01:02,0,2025-12-14 02:38:58,play.google.com
ru.rzd.pass,5000,F82235296527716D0EFC61D2B5395DE977274E9D91252EBCB932A66276344383,83833455,1981-01-01 01:01:02,0,2025-10-01 04:13:45,play.google.com
ru.yandex.taxi,50127705,8287C5937FC7DA4A35602D3AABA2ECD2045389DE0CBC84899326C55326832958,67198790,1981-01-01 01:01:02,,,play.google.com
ru.yandex.telemost,201000,67EB78A11CBF51691544A32384E09E568486B214AFEBEC847A235EA0CD83074E,43324161,1981-01-01 01:01:02,0,2025-11-06 00:59:16,play.google.com
ru.rtlabs.mobile.ebs.gosuslugi.android,20250919,D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,54027130,1981-01-01 01:01:02,0,2025-10-20 06:09:48,play.google.com
