apk_filename,store,package,versionName,versionCode,size_bytes,sha256,signer_cert_sha256,size_bytes,requested_permissions_count,custom_permissions_count,activities_all,activities_exported,services_all,services_exported,receivers_all,receivers_exported,providers_all,providers_exported,perms_added,perms_absent,pair_same_sha256,pair_same_signer_cert,pair_same_version,pair_diff_size_bytes,pair_diff_requested_permissions_count,pair_diff_custom_permissions_count,pair_diff_activities_all,pair_diff_activities_exported,pair_diff_services_all,pair_diff_services_exported,pair_diff_receivers_all,pair_diff_receivers_exported,pair_diff_providers_all,pair_diff_providers_exported
Booking.com.apk,Google Play,com.booking,63.6,31691,197314601,0198522739aa6795dadf8bcc086673100ff46fbf5a44348dcb3f225c8f7f6472,6ac8c8a9e6f36e14e52a0a0515a36b7066e720a1b0c8a1b059e0781750a87199,197314601,48,4,304,64,39,3,28,7,10,0,android.permission.DOWNLOAD_WITHOUT_NOTIFICATION; android.permission.HIDE_OVERLAY_WINDOWS; android.permission.POST_PROMOTED_NOTIFICATIONS; android.permission.READ_MEDIA_IMAGES; android.permission.RECORD_AUDIO; android.permission.USE_BIOMETRIC; android.permission.USE_FINGERPRINT; manifest.permission.CAMERA,android.permission.REQUEST_INSTALL_PACKAGES; com.asus.msa.SupplementaryDID.ACCESS; com.booking.permission.PROCESS_PUSH_MSG; com.booking.permission.PUSH_PROVIDER; com.huawei.android.launcher.permission.CHANGE_BADGE; com.vivo.identifier.permission.OAID_STATE_DIALOG; freemme.permission.msa; freemme.permission.msa.SECURITY_ACCESS; oplus.permission.settings.LAUNCH_FOR_EXPORT,0,1,0,-11341800,-1,-3,-10,0,-7,-1,-4,-2,-6,-1
Booking.com.apk,RuStore,com.booking,57.6.0.11,901680,208656401,cdecceb80b6cb3d38e71f5cf0ae06f6e92f890102eb931943194a5219f717e95,6ac8c8a9e6f36e14e52a0a0515a36b7066e720a1b0c8a1b059e0781750a87199,208656401,49,7,314,64,46,4,32,9,16,1,android.permission.REQUEST_INSTALL_PACKAGES; com.asus.msa.SupplementaryDID.ACCESS; com.booking.permission.PROCESS_PUSH_MSG; com.booking.permission.PUSH_PROVIDER; com.huawei.android.launcher.permission.CHANGE_BADGE; com.vivo.identifier.permission.OAID_STATE_DIALOG; freemme.permission.msa; freemme.permission.msa.SECURITY_ACCESS; oplus.permission.settings.LAUNCH_FOR_EXPORT,android.permission.DOWNLOAD_WITHOUT_NOTIFICATION; android.permission.HIDE_OVERLAY_WINDOWS; android.permission.POST_PROMOTED_NOTIFICATIONS; android.permission.READ_MEDIA_IMAGES; android.permission.RECORD_AUDIO; android.permission.USE_BIOMETRIC; android.permission.USE_FINGERPRINT; manifest.permission.CAMERA,0,1,0,11341800,1,3,10,0,7,1,4,2,6,1
Duolingo.apk,Google Play,com.duolingo,6.69.3,2306,131127194,056a35987bf63197c0a1eaa55c56364f63fb8b0b9187d1cd58a84eb53fa3c008,1233ff6de4c70ef4d7deae54af15b167fc7cfd2539517bd2175870f3cb771731,131127194,40,1,228,6,19,4,22,3,12,1,android.permission.DETECT_SCREEN_CAPTURE; android.permission.MODIFY_AUDIO_SETTINGS; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.USE_BIOMETRIC; android.permission.USE_FINGERPRINT; android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_MEDIA_IMAGES; com.google.android.providers.gsf.permission.READ_GSERVICES,0,1,0,68448236,4,0,85,2,1,-1,3,0,2,0
Duolingo.apk,RuStore,com.duolingo,5.159.4,1901,62678958,a84fa522d88060d4197aa4368fb0a925684e895381136f76358acb2cf7d45f01,1233ff6de4c70ef4d7deae54af15b167fc7cfd2539517bd2175870f3cb771731,62678958,36,1,143,4,18,5,19,3,10,1,android.permission.READ_MEDIA_IMAGES; com.google.android.providers.gsf.permission.READ_GSERVICES,android.permission.DETECT_SCREEN_CAPTURE; android.permission.MODIFY_AUDIO_SETTINGS; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.USE_BIOMETRIC; android.permission.USE_FINGERPRINT; android.permission.WRITE_EXTERNAL_STORAGE,0,1,0,-68448236,-4,0,-85,-2,-1,1,-3,0,-2,0
imo.apk,Google Play,com.imo.android.imoim,2026.01.1031,26011031,80260301,eac1106ca024e1b014b49c6ee7df2e9c453fdea2bdafc12c0327e0183b5719bf,44483f98c17bf49fbde08d3376af09c6fc1f9370c7a046c35a3dca45f5785150,80260301,87,5,529,17,51,13,41,17,7,2,,,0,1,0,-60386265,0,0,0,0,0,1,1,0,0,0
imo.apk,RuStore,com.imo.android.imoim,2025.11.1051,25111051,140646566,57184d841852c80e2e4d97b4d87d90cfbb10c0ff5c0eed91773729f840780231,44483f98c17bf49fbde08d3376af09c6fc1f9370c7a046c35a3dca45f5785150,140646566,87,5,529,17,51,12,40,17,7,2,,,0,1,0,60386265,0,0,0,0,0,-1,-1,0,0,0
MAPS.ME.apk,Google Play,com.mapswithme.maps.pro,v17.8.71982-googleRelease,71982,264058697,4c0a1e7bf443f47cc41993d91c4c592e905b130bb5cd2c9849f5004bf39890cd,bb78b8f17484f86ae008962f1e4a3560f5c43924b3cb088d5793a0cfce08eced,264058697,29,2,28,4,18,3,15,3,8,1,,,0,1,0,-105487771,0,0,0,0,0,0,0,0,0,0
MAPS.ME.apk,RuStore,com.mapswithme.maps.pro,v17.8.71983-googleRelease,71983,369546468,1306c0c45734ae9f98308672466debfb94b954a56d23c7ef92d97d261419b284,bb78b8f17484f86ae008962f1e4a3560f5c43924b3cb088d5793a0cfce08eced,369546468,29,2,28,4,18,3,15,3,8,1,,,0,1,0,105487771,0,0,0,0,0,0,0,0,0,0
Spotify.apk,Google Play,com.spotify.music,9.1.24.1739,138424205,74682321,4e5b13b9f4bb7d412252143a335e97fd94c57f8cc24010d87c86f48d91ebb035,6505b181933344f93893d586e399b94616183f04349cb572a9e81a3335e28ffd,74682321,51,4,85,16,43,12,34,11,8,1,android.permission.NEARBY_WIFI_DEVICES,,0,1,0,-41256625,1,0,-2,0,3,2,2,0,1,0
Spotify.apk,RuStore,com.spotify.music,9.0.84.1340,133178532,115938946,f5ffa48da8edfd46886b47398011be2a698b67aa8ca21a02b4f81aa0e58f3bf8,6505b181933344f93893d586e399b94616183f04349cb572a9e81a3335e28ffd,115938946,50,4,87,16,40,10,32,11,7,1,,android.permission.NEARBY_WIFI_DEVICES,0,1,0,41256625,-1,0,2,0,-3,-2,-2,0,-1,0
VK.apk,Google Play,com.vkontakte.android,8.167,49088,149761536,028b515ac2756a118e861d30c714ac1290dc4bd69e1cdead63a0e0a1fcf3ce26,057d974412032066f1b5edb1fdb550f71854189815c806b27c4d486fb4f1ef32,149761536,97,10,142,25,65,11,54,16,16,4,,,0,1,0,-7660576,0,0,0,0,0,0,0,0,0,0
VK.apk,RuStore,com.vkontakte.android,8.167,49085,157422112,8c2895ba996543c40208c034f1b805cec64c4f65951084e00801e0466be54686,057d974412032066f1b5edb1fdb550f71854189815c806b27c4d486fb4f1ef32,157422112,97,10,142,25,65,11,54,16,16,4,,,0,1,0,7660576,0,0,0,0,0,0,0,0,0,0
Bolt_Driver.apk,Google Play,ee.mtakso.driver,DA.129.0,752,169475153,49edb677a0ba87cfa382dc73877f59354e8cfde7c7317a9e9fe0d21928574e49,a75c6372a0b67db01686b47df68c91516ee16229eec4c0c67d355e32207c6617,169475153,41,2,27,2,21,3,22,5,5,0,android.permission.ACCESS_ADSERVICES_AD_ID; android.permission.ACCESS_ADSERVICES_ATTRIBUTION; android.permission.ACCESS_BACKGROUND_LOCATION; android.permission.ACCESS_NOTIFICATION_POLICY; android.permission.BLUETOOTH_ADMIN; android.permission.BLUETOOTH_ADVERTISE; android.permission.BLUETOOTH_SCAN; android.permission.FOREGROUND_SERVICE_LOCATION; android.permission.FOREGROUND_SERVICE_MICROPHONE; android.permission.USE_BIOMETRIC; android.permission.USE_FINGERPRINT; com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA; com.samsung.android.mapsagent.permission.READ_APP_INFO; ee.mtakso.driver.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,,0,1,0,144432335,14,1,-3,1,2,0,6,2,1,0
Bolt_Driver.apk,RuStore,ee.mtakso.driver,DA.55.0,433,25042818,21f5536ca83f2f287e503f58471e177c8e459e519eb81fc51f5b89ffe69700d4,a75c6372a0b67db01686b47df68c91516ee16229eec4c0c67d355e32207c6617,25042818,27,1,30,1,19,3,16,3,4,0,,android.permission.ACCESS_ADSERVICES_AD_ID; android.permission.ACCESS_ADSERVICES_ATTRIBUTION; android.permission.ACCESS_BACKGROUND_LOCATION; android.permission.ACCESS_NOTIFICATION_POLICY; android.permission.BLUETOOTH_ADMIN; android.permission.BLUETOOTH_ADVERTISE; android.permission.BLUETOOTH_SCAN; android.permission.FOREGROUND_SERVICE_LOCATION; android.permission.FOREGROUND_SERVICE_MICROPHONE; android.permission.USE_BIOMETRIC; android.permission.USE_FINGERPRINT; com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA; com.samsung.android.mapsagent.permission.READ_APP_INFO; ee.mtakso.driver.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,0,1,0,-144432335,-14,-1,3,-1,-2,0,-6,-2,-1,0
Telegram.apk,Google Play,org.telegram.messenger,12.5.0,65732,49627077,2ec816d617f5e169f0272c0583077c84e6275598c8da44ffdf6e30ea4f1f1c64,49c1522548ebacd46ce322b6fd47f6092bb745d0f88082145caf35e14dcc38e1,49627077,71,2,19,8,29,15,26,4,6,1,org.telegram.messenger.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION; org.telegram.messenger.permission.MAPS_RECEIVE,android.permission.FOREGROUND_SERVICE_PHONE_CALL; android.permission.FOREGROUND_SERVICE_REMOTE_MESSAGING; android.permission.SEND_SMS; org.telegram.messenger.web.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION; org.telegram.messenger.web.permission.MAPS_RECEIVE,0,1,0,-34130711,-3,0,0,0,-1,-1,-1,0,0,0
Telegram.apk,RuStore,org.telegram.messenger,12.4.3,65279,83757788,c62171f089a1eef035642eb7d92388f451307bef9d345e2d70766ee72ea20a3d,49c1522548ebacd46ce322b6fd47f6092bb745d0f88082145caf35e14dcc38e1,83757788,74,2,19,8,30,16,27,4,6,1,android.permission.FOREGROUND_SERVICE_PHONE_CALL; android.permission.FOREGROUND_SERVICE_REMOTE_MESSAGING; android.permission.SEND_SMS; org.telegram.messenger.web.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION; org.telegram.messenger.web.permission.MAPS_RECEIVE,org.telegram.messenger.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION; org.telegram.messenger.permission.MAPS_RECEIVE,0,1,0,34130711,3,0,0,0,1,1,1,0,0,0
Yandex_Go.apk,Google Play,ru.yandex.taxi,5.66.1,50127819,131450184,970ce3b5dbe03cf7c2aab41baa556fa278e8c1d066df3289050f5f4977a5bc20,aca405ded8b25cb2e8c6da69425d2b4307d087c1276fc06ad5942731ccc51dba,131450184,64,3,87,11,46,3,30,9,21,3,,android.permission.READ_MEDIA_IMAGES; com.huawei.permission.ACCESS_HW_KEYSTORE; ru.yandex.taxi.permission.PROCESS_PUSH_MSG; ru.yandex.taxi.permission.PUSH_PROVIDER,0,1,0,14103986,-4,-3,-1,2,-4,-2,-7,-1,-4,-1
Yandex_Go.apk,RuStore,ru.yandex.taxi,5.59.5,30127675,117346198,9e0d4e13ffa5e0931fd7b1c9791cce7d0aa364aff7e782bd1ada0ce66349700d,aca405ded8b25cb2e8c6da69425d2b4307d087c1276fc06ad5942731ccc51dba,117346198,68,6,88,9,50,5,37,10,25,4,android.permission.READ_MEDIA_IMAGES; com.huawei.permission.ACCESS_HW_KEYSTORE; ru.yandex.taxi.permission.PROCESS_PUSH_MSG; ru.yandex.taxi.permission.PUSH_PROVIDER,,0,1,0,-14103986,4,3,1,-2,4,2,7,1,4,1
Yandex_Maps.apk,Google Play,ru.yandex.yandexmaps,28.0.1,738974720,177310318,0ff67748b701ba58666c9df1801b9299cec73461ee4229590aff884e0350203d,aca405ded8b25cb2e8c6da69425d2b4307d087c1276fc06ad5942731ccc51dba,177310318,61,2,132,13,42,4,40,8,25,3,,,0,1,0,-147830611,0,0,0,0,0,0,0,0,0,0
Yandex_Maps.apk,RuStore,ru.yandex.yandexmaps,27.9.3,738946280,325140929,4c302ba7273ab2fa814b37e26be8460f706a947c743346bc011dadbe93fa3a02,aca405ded8b25cb2e8c6da69425d2b4307d087c1276fc06ad5942731ccc51dba,325140929,61,2,132,13,42,4,40,8,25,3,,,0,1,0,147830611,0,0,0,0,0,0,0,0,0,0
