region,category,pair_id,app_name,apk_path,sha256,package,version_code,version_name,min_sdk,target_sdk,max_sdk,perm_count_local,activities_local,services_local,receivers_local,providers_local,exported_act_true,exported_srv_true,exported_rcv_true,exported_prv_true,is_debuggable,vt_last_analysis_date,vt_malicious,vt_suspicious,vt_harmless,vt_undetected,vt_perm_count,vt_dangerous_perm_count
ru,transport_maps,maps,Yandex Maps,data/ru/ru.yandex.yandexmaps__vc738798720__899FEA0EBC3F624C8BE992EA5FE1B9DD412DDF8E831F31E94151A59EBA734384.apk,899FEA0EBC3F624C8BE992EA5FE1B9DD412DDF8E831F31E94151A59EBA734384,ru.yandex.yandexmaps,738798720,27.0.2,26,35,,60,140,42,40,25,21,4,8,3,,2026-01-17T01:42:22Z,0,0,0,44,60,18
eu,transport_maps,maps,Google Maps,data/eu/com.google.android.apps.maps__vc1068414381__35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C.apk,35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,com.google.android.apps.maps,1068414381,26.04.01.857847151,28,36,,49,98,55,62,9,27,16,28,0,,2026-01-26T17:04:12Z,0,0,0,60,49,14
ru,transport_taxi,taxi,Yandex Go Taxi,data/ru/ru.yandex.taxi__vc50127705__8287C5937FC7DA4A35602D3AABA2ECD2045389DE0CBC84899326C55326832958.apk,8287C5937FC7DA4A35602D3AABA2ECD2045389DE0CBC84899326C55326832958,ru.yandex.taxi,50127705,5.61.1,28,35,,64,92,47,34,21,20,3,8,3,,2026-02-04T17:12:35Z,0,0,0,61,64,13
eu,transport_taxi,taxi,Bolt,data/eu/ee.mtakso.client__vc4020__B6101DA1A808E1DE0FFB8FFBBA7CEF2229E7DE08AA5D10AA6DE37D629CDF142F.apk,B6101DA1A808E1DE0FFB8FFBBA7CEF2229E7DE08AA5D10AA6DE37D629CDF142F,ee.mtakso.client,4020,CA.194.0,24,35,,40,21,25,26,6,6,4,7,1,,2026-02-05T08:07:22Z,0,0,0,58,40,11
ru,transport_rail,rail1,RZD,data/ru/ru.rzd.pass__vc5000__F82235296527716D0EFC61D2B5395DE977274E9D91252EBCB932A66276344383.apk,F82235296527716D0EFC61D2B5395DE977274E9D91252EBCB932A66276344383,ru.rzd.pass,5000,1.55.5000,28,35,,62,43,24,21,4,10,8,11,0,,2025-10-01T04:13:45Z,0,0,0,65,62,15
eu,transport_rail,rail1,DB Navigator,data/eu/de.hafas.android.db__vc240000570__36619D4E2EA10AED11E8C77866ED5D167425548B1AD2C6D1EFF2850CA747A7AE.apk,36619D4E2EA10AED11E8C77866ED5D167425548B1AD2C6D1EFF2850CA747A7AE,de.hafas.android.db,240000570,26.0.0,26,36,,19,56,14,10,8,14,2,4,0,,2026-02-03T16:51:43Z,0,0,0,61,19,6
ru,transport_rail,rail2,Yandex Trains,data/ru/ru.yandex.rasp__vc35000044__63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A.apk,63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,ru.yandex.rasp,35000044,3.63.0,24,35,,29,82,21,26,11,17,3,10,3,,2025-12-14T02:38:58Z,0,0,0,66,29,6
eu,transport_rail,rail2,Mobiliteit.lu,data/eu/de.hafas.android.cdt__vc1000630__0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525.apk,0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,de.hafas.android.cdt,1000630,6.7.1 (63),26,34,,17,10,12,17,4,3,1,4,0,,2025-10-02T20:08:16Z,0,0,0,65,17,4
ru,ecom_1,ecom1,Ozon,data/ru/ru.ozon.app.android__vc2648__035B74D8B9E2838F2C12B8524E44FDB4161FCACE63902580F9538855B4136FAE.apk,035B74D8B9E2838F2C12B8524E44FDB4161FCACE63902580F9538855B4136FAE,ru.ozon.app.android,2648,19.2.1,26,35,,34,51,23,21,12,9,4,9,0,,2026-02-04T17:12:13Z,0,0,0,61,34,11
eu,ecom_1,ecom1,Amazon Shopping,data/eu/com.amazon.mShop.android.shopping__vc1241309016__54FE2B7D1A0A2D38D80AED770DA7AAE620DD6BF556D072DF31CCB32F33A68B7A.apk,54FE2B7D1A0A2D38D80AED770DA7AAE620DD6BF556D072DF31CCB32F33A68B7A,com.amazon.mShop.android.shopping,1241309016,32.2.0.100,28,35,,69,88,39,27,16,25,9,5,2,,2026-01-23T07:44:49Z,0,0,0,64,69,15
