pair_id,ads_ru_minus_eu,analytics_ru_minus_eu,anti_fraud_ru_minus_eu,crash_ru_minus_eu,networking_ru_minus_eu,other_ru_minus_eu,payments_ru_minus_eu,push_ru_minus_eu
bank1,4.0,1.0,17.0,2.0,-95.0,-1059.0,102.0,329.0
bank2,4.0,121.0,7.0,27.0,17.0,1531.0,183.0,315.0
bank3,2.0,192.0,-3.0,44.0,-56.0,570.0,-174.0,441.0
bank4,1.0,1838.0,0.0,-67.0,-35.0,-278.0,297.0,126.0
ecom1,-9.0,25.0,2.0,-58.0,-65.0,-3192.0,254.0,35.0
ecom2,129.0,2997.0,204.0,290.0,180.0,6648.0,3961.0,1080.0
ecom3,-8.0,3419.0,5.0,-41.0,137.0,926.0,671.0,93.0
ecom4,726.0,-2311.0,-70.0,15.0,-37.0,-3660.0,-1065.0,-134.0
gov1,8.0,1964.0,67.0,54.0,39.0,1304.0,5125.0,65.0
gov2,11.0,1748.0,0.0,2.0,1.0,678.0,44.0,6.0
gov3,1.0,-267.0,5.0,-40.0,48.0,-214.0,4.0,2.0
health,-2.0,1670.0,0.0,20.0,38.0,385.0,68.0,61.0
maps,5225.0,3244.0,1.0,42.0,78.0,2394.0,1696.0,177.0
msg1,6.0,176.0,-1.0,-1.0,-2.0,1179.0,-3.0,3.0
msg2,8.0,2257.0,-2.0,0.0,0.0,-1905.0,-199.0,55.0
rail1,17.0,-262.0,-124.0,-6.0,-15.0,-118.0,17.0,0.0
rail2,4235.0,2610.0,0.0,12.0,54.0,1208.0,2079.0,340.0
social2,8208.0,2733.0,-9.0,36.0,-1.0,1730.0,-5795.0,1236.0
taxi,6.0,1943.0,-5.0,-87.0,51.0,-126.0,711.0,-65.0
