sha256,ads,analytics,anti_fraud,crash,networking,other,payments,push,region,category,pair_id,app_name,package
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,4.0,289.0,0.0,42.0,1.0,1386.0,0.0,18.0,eu,gov_eid,gov3,itsme,be.bmid.itsme
035B74D8B9E2838F2C12B8524E44FDB4161FCACE63902580F9538855B4136FAE,4.0,92.0,2.0,19.0,22.0,350.0,264.0,46.0,ru,ecom_1,ecom1,Ozon,ru.ozon.app.android
0B387F643423A3F4F9D5D6708A2B05E3E72B5C0147D040D5D3BA40F128FB9F7F,0.0,148.0,2.0,0.0,0.0,2254.0,236.0,12.0,eu,msg_2,msg2,Telegram,org.telegram.messenger
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,2.0,11.0,0.0,0.0,0.0,78.0,0.0,0.0,eu,transport_rail,rail2,Mobiliteit.lu,de.hafas.android.cdt
0EE9AEE643DEE087F7221212C0BF87B23DD451CDA7589AB3D04339E6E7668745,6.0,205.0,2.0,4.0,4.0,1307.0,0.0,4.0,ru,msg_1,msg1,MAX,ru.oneme.app
20E4DD695F2E2358736AFD226911EDF1ACA7E988AEC3E33005B7FB22D13BE10C,0.0,0.0,0.0,2.0,36.0,154.0,0.0,17.0,eu,gov_tax,gov2,impots.gouv,fr.gouv.finances.smartphone.android
25689DB366425428AB6C683D1ABE2FC7A9DA2C5DE5132F23F1A194619B5AA141,14.0,138.0,17.0,44.0,1.0,700.0,105.0,352.0,ru,bank_1,bank1,Sberbank,ru.sberbankmobile
35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,1.0,12.0,0.0,0.0,7.0,177.0,46.0,0.0,eu,transport_maps,maps,Google Maps,com.google.android.apps.maps
36098542A5109843B1517F0F2B3667CB3EA0A84AD3B60E2DA658F5A398D3EE31,0.0,17.0,0.0,0.0,34.0,725.0,0.0,21.0,eu,gov_portal,gov1,MyGuichet.lu,lu.etat.fp.gun.android
36619D4E2EA10AED11E8C77866ED5D167425548B1AD2C6D1EFF2850CA747A7AE,4.0,318.0,130.0,47.0,51.0,808.0,3.0,18.0,eu,transport_rail,rail1,DB Navigator,de.hafas.android.db
3AEAD4E3997767D098B6B77592AA056E7CDB06C1DA74A056A1397D0761D20CA1,0.0,29.0,3.0,5.0,6.0,128.0,3.0,1.0,eu,msg_1,msg1,WhatsApp,com.whatsapp
4639F77FE0014B8709F2A0A428665AB769AA2CBF0FD94161941EF6CB77FA154D,6.0,29.0,5.0,14.0,61.0,540.0,174.0,7.0,eu,bank_3,bank3,Revolut,com.revolut.revolut
4A8C965A2C484F664CD4B426BE9F10A40BFF2EBE667A3983F889277BCC1B4C8E,4.0,0.0,0.0,0.0,0.0,22.0,0.0,17.0,eu,health,health,Doctena,goodsoft.pl.doctenalu
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,2.0,246.0,0.0,20.0,4.0,292.0,0.0,77.0,eu,ecom_2,ecom2,Zalando,de.zalando.mobile
54FE2B7D1A0A2D38D80AED770DA7AAE620DD6BF556D072DF31CCB32F33A68B7A,13.0,67.0,0.0,77.0,87.0,3542.0,10.0,11.0,eu,ecom_1,ecom1,Amazon Shopping,com.amazon.mShop.android.shopping
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,4237.0,2621.0,0.0,12.0,54.0,1286.0,2079.0,340.0,ru,transport_rail,rail2,Yandex Trains,ru.yandex.rasp
67EB78A11CBF51691544A32384E09E568486B214AFEBEC847A235EA0CD83074E,8.0,2405.0,0.0,0.0,0.0,349.0,37.0,67.0,ru,msg_2,msg2,Yandex Telemost,ru.yandex.telemost
69246362D31AADEB38D0EA1DD697A2D2AE02AC17503322CE9E1A99898C048A0B,11.0,1748.0,0.0,4.0,37.0,832.0,44.0,23.0,ru,gov_tax,gov2,Nalogi FL,ru.fns.lkfl
6C4FCC752216A0ED5BE67C058A9ED6CAF1C8CFA70032C107EE23A3E8EF63CE44,3679.0,596.0,5.0,91.0,106.0,1467.0,9.0,191.0,ru,ecom_4,ecom4,Avito,com.avito.android
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,2.0,1670.0,0.0,20.0,38.0,407.0,68.0,78.0,ru,health,health,EMIAS.INFO,com.programmisty.emiasapp
79346FD056ECA0CD976AD61F4C39BDC60942BBBE88DB90F5BD502039328E6691,8313.0,2926.0,2.0,92.0,57.0,5729.0,93.0,1333.0,ru,social_2,social2,OK,ru.ok.android
8287C5937FC7DA4A35602D3AABA2ECD2045389DE0CBC84899326C55326832958,10.0,3804.0,10.0,19.0,148.0,2166.0,1417.0,250.0,ru,transport_taxi,taxi,Yandex Go Taxi,ru.yandex.taxi
899FEA0EBC3F624C8BE992EA5FE1B9DD412DDF8E831F31E94151A59EBA734384,5226.0,3256.0,1.0,42.0,85.0,2571.0,1742.0,177.0,ru,transport_maps,maps,Yandex Maps,ru.yandex.yandexmaps
9A07C0BBA5BC8E5A59230DA0853616327528FB7ED4FB29FFD814F9600231A98E,11.0,3440.0,5.0,17.0,138.0,1051.0,671.0,132.0,ru,ecom_3,ecom3,Yandex Market,ru.beru.android
9ABDD8774B2E0C00698B07B7B8094D887FB655AAA121D7E9A6971D026574DB9D,98.0,448.0,3.0,71.0,63.0,2045.0,90.0,359.0,ru,social_1,social1,VK,com.vkontakte.android
AEB8DD6E08F45707C0250F88B340D52A5DAB11D818C9BDD87DB4D64ACDB69DA5,4.0,121.0,7.0,27.0,17.0,1532.0,183.0,315.0,ru,bank_2,bank2,Tinkoff,com.idamob.tinkoff.android
B6101DA1A808E1DE0FFB8FFBBA7CEF2229E7DE08AA5D10AA6DE37D629CDF142F,4.0,1861.0,15.0,106.0,97.0,2292.0,706.0,315.0,eu,transport_taxi,taxi,Bolt,ee.mtakso.client
C43F18067802A90DA14D6CE8D0622782C8A594D8896B44994A32EC2E40EF409B,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,eu,bank_2,bank2,ING Luxembourg,com.ing.lu.mobile
CA9CE3BA252AD0530AABAE16F6CEAF1206C10D352631AECE6C704790F1C285D8,2953.0,2907.0,75.0,76.0,143.0,5127.0,1074.0,325.0,eu,ecom_4,ecom4,Vinted,fr.vinted
CEEDC4D662EE8DA8E631F990D81074DD344E4AAC66A03DA66785872072B95AEB,105.0,193.0,11.0,56.0,58.0,3999.0,5888.0,97.0,eu,social_2,social2,X,com.twitter.android
D112060FE3DFE0438C210E30CE90669EC9D3EC5AF97D4EDE7BBA46D9A3FC672B,19.0,21.0,0.0,58.0,1.0,125.0,0.0,39.0,eu,ecom_3,ecom3,bol,com.bol.shop
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,5.0,22.0,5.0,2.0,49.0,1172.0,4.0,20.0,ru,gov_eid,gov3,Gosuslugi Biometria,ru.rtlabs.mobile.ebs.gosuslugi.android
D8885060ADB877C9B12D331FE919192A45BC036AC163F2E794841FA590B2B588,131.0,3243.0,204.0,310.0,184.0,6940.0,3961.0,1157.0,ru,ecom_2,ecom2,Wildberries,com.wildberries.ru
DFCA79723F76139789279379A3DCEEDB483E85F8500A53E74B2616A2FC6E7A3B,10.0,1962.0,0.0,2.0,4.0,852.0,325.0,149.0,ru,bank_4,bank4,VTB,ru.vtb24.mobilebanking.android
E80E01FAC8C0DBFF5281E293C218550283DAD17A2B6A72A4F4CE00482212746B,8.0,1981.0,67.0,54.0,73.0,2029.0,5125.0,86.0,ru,gov_portal,gov1,Gosuslugi,ru.rostel
E81541FB320BC58427611D50F6840C98F0D67D1AFD0B259342D996FB5BA03D66,10.0,137.0,0.0,42.0,96.0,1759.0,3.0,23.0,eu,bank_1,bank1,BGL,lu.bgl.spm.retail
