library,ru_app_count,eu_app_count,total_app_count,region_type,ru_apps,eu_apps,ru_usage_percent,eu_usage_percent
com.google,20,20,40,Common,Alfa Bank;Avito;EMIAS.INFO;Gosuslugi;Gosuslugi Biometria;MAX;Nalogi FL;OK;Ozon;RZD;Sberbank;Tinkoff;VK;VTB;Wildberries;Yandex Go Taxi;Yandex Maps;Yandex Market;Yandex Telemost;Yandex Trains,Amazon Shopping;BGL;BILnet;Bolt;DB Navigator;Doctena;Facebook;Google Maps;ING Luxembourg;Mobiliteit.lu;MyGuichet.lu;Revolut;Telegram;Vinted;WhatsApp;X;Zalando;bol;impots.gouv;itsme,100.0,100.0
com.airbnb,18,11,29,Common,Alfa Bank;Avito;EMIAS.INFO;Gosuslugi;Gosuslugi Biometria;OK;Ozon;RZD;Sberbank;Tinkoff;VK;VTB;Wildberries;Yandex Go Taxi;Yandex Maps;Yandex Market;Yandex Telemost;Yandex Trains,Amazon Shopping;BILnet;Bolt;DB Navigator;Google Maps;Revolut;Vinted;WhatsApp;X;Zalando;itsme,90.0,55.0
com.android,16,13,29,Common,Alfa Bank;Avito;EMIAS.INFO;Gosuslugi;Gosuslugi Biometria;Nalogi FL;OK;Ozon;RZD;VK;VTB;Yandex Go Taxi;Yandex Maps;Yandex Market;Yandex Telemost;Yandex Trains,Amazon Shopping;BILnet;Bolt;DB Navigator;Google Maps;MyGuichet.lu;Revolut;Telegram;Vinted;WhatsApp;X;Zalando;bol,80.0,65.0
com.facebook,16,12,28,Common,Avito;EMIAS.INFO;Gosuslugi;Gosuslugi Biometria;MAX;Nalogi FL;OK;Ozon;Sberbank;Tinkoff;VK;Wildberries;Yandex Go Taxi;Yandex Maps;Yandex Market;Yandex Trains,Amazon Shopping;BILnet;Bolt;DB Navigator;Facebook;Google Maps;Revolut;Vinted;WhatsApp;X;Zalando;impots.gouv,80.0,60.0
com.github,16,7,23,Common,Alfa Bank;Avito;EMIAS.INFO;Gosuslugi;Gosuslugi Biometria;Nalogi FL;Ozon;RZD;Sberbank;Tinkoff;VK;VTB;Wildberries;Yandex Go Taxi;Yandex Maps;Yandex Market,Amazon Shopping;BGL;BILnet;Revolut;Vinted;X;impots.gouv,80.0,35.0
org.apache,13,8,21,Common,Alfa Bank;Gosuslugi;Gosuslugi Biometria;MAX;Nalogi FL;OK;RZD;Tinkoff;VTB;Wildberries;Yandex Go Taxi;Yandex Market;Yandex Trains,Amazon Shopping;BGL;BILnet;Bolt;DB Navigator;Revolut;WhatsApp;X,65.0,40.0
io.reactivex,12,9,21,Common,Alfa Bank;Avito;Gosuslugi Biometria;MAX;OK;Ozon;Sberbank;Tinkoff;VK;VTB;Yandex Maps;Yandex Trains,Amazon Shopping;BGL;Bolt;DB Navigator;Revolut;Vinted;X;Zalando;bol,60.0,45.0
com.squareup,14,6,20,Common,Alfa Bank;Avito;EMIAS.INFO;Gosuslugi;OK;Ozon;RZD;Sberbank;VK;Yandex Go Taxi;Yandex Maps;Yandex Market;Yandex Telemost;Yandex Trains,Amazon Shopping;BGL;Vinted;X;Zalando;bol,70.0,30.0
org.slf4j,11,8,19,Common,Alfa Bank;Avito;Gosuslugi;Gosuslugi Biometria;OK;Sberbank;Tinkoff;VTB;Wildberries;Yandex Maps;Yandex Telemost,Amazon Shopping;BGL;Bolt;DB Navigator;Revolut;WhatsApp;X;Zalando,55.0,40.0
com.caverock,11,7,18,Common,Alfa Bank;Gosuslugi;OK;Sberbank;Tinkoff;VTB;Wildberries;Yandex Go Taxi;Yandex Maps;Yandex Market;Yandex Trains,Amazon Shopping;DB Navigator;Revolut;Vinted;WhatsApp;X;bol,55.0,35.0
