library,ru_app_count,eu_app_count,total_app_count,region_type,ru_apps,eu_apps
ru.yandex,6,0,6,RU_only,OK;Yandex Go Taxi;Yandex Maps;Yandex Market;Yandex Telemost;Yandex Trains,
com.google,20,20,40,Common,Alfa Bank;Avito;EMIAS.INFO;Gosuslugi;Gosuslugi Biometria;MAX;Nalogi FL;OK;Ozon;RZD;Sberbank;Tinkoff;VK;VTB;Wildberries;Yandex Go Taxi;Yandex Maps;Yandex Market;Yandex Telemost;Yandex Trains,Amazon Shopping;BGL;BILnet;Bolt;DB Navigator;Doctena;Facebook;Google Maps;ING Luxembourg;Mobiliteit.lu;MyGuichet.lu;Revolut;Telegram;Vinted;WhatsApp;X;Zalando;bol;impots.gouv;itsme
com.facebook,16,12,28,Common,Avito;EMIAS.INFO;Gosuslugi;Gosuslugi Biometria;MAX;Nalogi FL;OK;Ozon;Sberbank;Tinkoff;VK;Wildberries;Yandex Go Taxi;Yandex Maps;Yandex Market;Yandex Trains,Amazon Shopping;BILnet;Bolt;DB Navigator;Facebook;Google Maps;Revolut;Vinted;WhatsApp;X;Zalando;impots.gouv
com.adjust.sdk,3,3,6,Common,Avito;Yandex Go Taxi;Yandex Market,DB Navigator;Vinted;Zalando
com.yandex.pay,3,0,3,RU_only,Gosuslugi;Yandex Go Taxi;Yandex Market,
io.opentelemetry,7,2,9,Common,OK;Tinkoff;VK;Yandex Go Taxi;Yandex Maps;Yandex Market;Yandex Trains,Vinted;Zalando
org.chromium.net,7,4,11,Common,Avito;Gosuslugi;OK;Ozon;VK;Wildberries;Yandex Market,Amazon Shopping;Google Maps;Vinted;WhatsApp
com.yandex.div,7,0,7,RU_only,Avito;OK;Yandex Go Taxi;Yandex Maps;Yandex Market;Yandex Telemost;Yandex Trains,
com.squareup,14,6,20,Common,Alfa Bank;Avito;EMIAS.INFO;Gosuslugi;OK;Ozon;RZD;Sberbank;VK;Yandex Go Taxi;Yandex Maps;Yandex Market;Yandex Telemost;Yandex Trains,Amazon Shopping;BGL;Vinted;X;Zalando;bol
org.apache,13,8,21,Common,Alfa Bank;Gosuslugi;Gosuslugi Biometria;MAX;Nalogi FL;OK;RZD;Tinkoff;VTB;Wildberries;Yandex Go Taxi;Yandex Market;Yandex Trains,Amazon Shopping;BGL;BILnet;Bolt;DB Navigator;Revolut;WhatsApp;X
com.android,16,13,29,Common,Alfa Bank;Avito;EMIAS.INFO;Gosuslugi;Gosuslugi Biometria;Nalogi FL;OK;Ozon;RZD;VK;VTB;Yandex Go Taxi;Yandex Maps;Yandex Market;Yandex Telemost;Yandex Trains,Amazon Shopping;BILnet;Bolt;DB Navigator;Google Maps;MyGuichet.lu;Revolut;Telegram;Vinted;WhatsApp;X;Zalando;bol
com.airbnb,18,11,29,Common,Alfa Bank;Avito;EMIAS.INFO;Gosuslugi;Gosuslugi Biometria;OK;Ozon;RZD;Sberbank;Tinkoff;VK;VTB;Wildberries;Yandex Go Taxi;Yandex Maps;Yandex Market;Yandex Telemost;Yandex Trains,Amazon Shopping;BILnet;Bolt;DB Navigator;Google Maps;Revolut;Vinted;WhatsApp;X;Zalando;itsme
io.gsonfire,1,0,1,RU_only,Yandex Market,
io.github,7,1,8,Common,Avito;Gosuslugi;OK;Tinkoff;VTB;Yandex Market;Yandex Telemost,Revolut
com.journeyapps,7,3,10,Common,Alfa Bank;Gosuslugi;Ozon;RZD;VTB;Yandex Maps;Yandex Market,BGL;Vinted;bol
org.msgpack,7,0,7,RU_only,MAX;OK;VK;Yandex Go Taxi;Yandex Maps;Yandex Market;Yandex Telemost,
com.yandex.android,4,0,4,RU_only,Avito;OK;Yandex Market;Yandex Trains,
com.apollographql.apollo,1,3,4,Common,Yandex Market,X;Zalando;bol
com.caverock,11,7,18,Common,Alfa Bank;Gosuslugi;OK;Sberbank;Tinkoff;VTB;Wildberries;Yandex Go Taxi;Yandex Maps;Yandex Market;Yandex Trains,Amazon Shopping;DB Navigator;Revolut;Vinted;WhatsApp;X;bol
com.github,16,7,23,Common,Alfa Bank;Avito;EMIAS.INFO;Gosuslugi;Gosuslugi Biometria;Nalogi FL;Ozon;RZD;Sberbank;Tinkoff;VK;VTB;Wildberries;Yandex Go Taxi;Yandex Maps;Yandex Market,Amazon Shopping;BGL;BILnet;Revolut;Vinted;X;impots.gouv
com.scottyab,8,2,10,Common,Alfa Bank;Avito;Nalogi FL;Ozon;Tinkoff;Yandex Go Taxi;Yandex Maps;Yandex Market,BGL;Revolut
de.hdodenhof,7,1,8,Common,Gosuslugi Biometria;RZD;Yandex Go Taxi;Yandex Maps;Yandex Market;Yandex Telemost;Yandex Trains,Amazon Shopping
io.reactivex,12,9,21,Common,Alfa Bank;Avito;Gosuslugi Biometria;MAX;OK;Ozon;Sberbank;Tinkoff;VK;VTB;Yandex Maps;Yandex Trains,Amazon Shopping;BGL;Bolt;DB Navigator;Revolut;Vinted;X;Zalando;bol
io.ktor,8,6,14,Common,Avito;Gosuslugi;OK;RZD;Sberbank;Wildberries;Yandex Maps;Yandex Telemost,Amazon Shopping;Bolt;DB Navigator;Mobiliteit.lu;X;itsme
io.grpc,4,2,6,Common,Tinkoff;VTB;Wildberries;Yandex Maps,Google Maps;Revolut
com.appsflyer,5,3,8,Common,Alfa Bank;Ozon;Tinkoff;Wildberries;Yandex Maps,Bolt;Revolut;bol
com.apollographql.apollo3,2,0,2,RU_only,Yandex Go Taxi;Yandex Maps,
org.joda,5,2,7,Common,Avito;Ozon;Tinkoff;VTB;Yandex Maps,BGL;Revolut
com.bluelinelabs,2,1,3,Common,MAX;Yandex Maps,X
io.noties,3,0,3,RU_only,Avito;Sberbank;Yandex Maps,
com.pushtorefresh,1,0,1,RU_only,Yandex Maps,
com.fasterxml,10,7,17,Common,Avito;Gosuslugi;MAX;OK;Sberbank;Tinkoff;VK;VTB;Yandex Maps;Yandex Trains,Amazon Shopping;BGL;DB Navigator;Google Maps;Revolut;Vinted;X
com.soywiz,1,0,1,RU_only,Yandex Maps,
com.serjltt.moshi,1,0,1,RU_only,Yandex Maps,
org.commonmark,2,0,2,RU_only,Avito;Yandex Maps,
com.evernote,1,0,1,RU_only,Yandex Maps,
com.russhwolf,2,2,4,Common,Avito;Yandex Maps,Bolt;X
