pair_id,ru_only,eu_only,intersection,ru_only_libs,eu_only_libs
bank1,0,2,0,,com.andraskindler.quickscroll;com.sothree.slidinguppanel
bank2,5,0,0,app.cash.zipline;cafe.adriel.voyager;co.nstant.in;com.datatheorem.android.trustkit;com.freeletics.rxredux,
bank3,3,3,0,com.my.tracker;com.sothree.slidinguppanel;org.hildan.krossbow,ch.qos.logback;io.seon.androidsdk;org.ejbca.cvc
bank4,2,0,0,com.datatheorem.android.trustkit;com.theartofdev.edmodo,
ecom1,2,1,1,com.detmir.recycli;me.zhanghai.android.materialprogressbar,org.iq80.snappy
ecom2,11,3,0,androidmads.library.qrgenearator;cafe.adriel.voyager;com.arkivanov.decompose;com.arkivanov.essenty;com.badoo.mobile;com.pierfrancescosoffritti.androidyoutubeplayer;com.theartofdev.edmodo;com.valentinilk.shimmer;org.chromium.net;ru.gildor.coroutines;uk.co.samuelwall,com.adjust.sdk;com.apollographql.apollo;com.h6ah4i.android
ecom3,5,0,1,com.adjust.sdk;com.yandex.android;com.yandex.div;com.yandex.pay;org.chromium.net,
ecom4,5,3,2,com.geetest.captcha;com.my.target;com.my.tracker;com.yandex.android;com.yandex.div,com.amazon.device;com.patloew.colocation;com.unity3d.ads
gov1,9,0,0,co.nstant.in;com.avito.android;com.davemorrissey.labs;com.yandex.pay;net.pwall.json;net.pwall.log;net.pwall.util;net.pwall.yaml;org.chromium.net,
gov2,0,0,0,,
gov3,0,2,1,,app.cash.turbine;ch.qos.logback
health,1,0,0,com.giphy.sdk,
maps,4,1,0,com.apollographql.apollo3;com.serjltt.moshi;com.yandex.div;io.tus.java.client,org.chromium.net
msg1,2,1,0,com.my.tracker;net.jpountz.lz4,org.chromium.net
msg2,1,0,0,com.yandex.div,
rail1,2,2,0,app.cash.sqldelight;me.dm7.barcodescanner,com.adjust.sdk;com.optimizely.ab
rail2,3,0,0,com.bea.xml;com.yandex.android;com.yandex.div,
social1,6,0,0,com.my.target;com.my.tracker;me.grishka.appkit;me.zhanghai.android.materialprogressbar;org.chromium.net;org.shredzone.commons,
social2,10,9,1,at.favre.lib;com.koushikdutta.async;com.my.target;com.my.tracker;com.theartofdev.edmodo;com.unity3d.ads;com.yandex.android;com.yandex.div;net.jpountz.lz4;org.chromium.net,app.cash.sqldelight;com.apollographql.apollo;com.arkivanov.decompose;com.bendb.thrifty;com.ionspin.kotlin;com.ryanharter.auto.value;com.valentinilk.shimmer;org.kodein.di;org.kodein.type
taxi,4,4,0,com.adjust.sdk;com.apollographql.apollo3;com.yandex.div;com.yandex.pay,com.polidea.rxandroidble2;com.tickaroo.tikxml;org.apmem.tools;org.ccil.cowan.tagsoup
