sha256,package,version_code,version_name,min_sdk,target_sdk,max_sdk,perm_count_local,activities_local,services_local,receivers_local,providers_local,exported_act_true,exported_srv_true,exported_rcv_true,exported_prv_true,is_debuggable
899FEA0EBC3F624C8BE992EA5FE1B9DD412DDF8E831F31E94151A59EBA734384,ru.yandex.yandexmaps,738798720,27.0.2,26,35,,60,140,42,40,25,21,4,8,3,
35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,com.google.android.apps.maps,1068414381,26.04.01.857847151,28,36,,49,98,55,62,9,27,16,28,0,
8287C5937FC7DA4A35602D3AABA2ECD2045389DE0CBC84899326C55326832958,ru.yandex.taxi,50127705,5.61.1,28,35,,64,92,47,34,21,20,3,8,3,
B6101DA1A808E1DE0FFB8FFBBA7CEF2229E7DE08AA5D10AA6DE37D629CDF142F,ee.mtakso.client,4020,CA.194.0,24,35,,40,21,25,26,6,6,4,7,1,
F82235296527716D0EFC61D2B5395DE977274E9D91252EBCB932A66276344383,ru.rzd.pass,5000,1.55.5000,28,35,,62,43,24,21,4,10,8,11,0,
36619D4E2EA10AED11E8C77866ED5D167425548B1AD2C6D1EFF2850CA747A7AE,de.hafas.android.db,240000570,26.0.0,26,36,,19,56,14,10,8,14,2,4,0,
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,ru.yandex.rasp,35000044,3.63.0,24,35,,29,82,21,26,11,17,3,10,3,
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,de.hafas.android.cdt,1000630,6.7.1 (63),26,34,,17,10,12,17,4,3,1,4,0,
035B74D8B9E2838F2C12B8524E44FDB4161FCACE63902580F9538855B4136FAE,ru.ozon.app.android,2648,19.2.1,26,35,,34,51,23,21,12,9,4,9,0,
54FE2B7D1A0A2D38D80AED770DA7AAE620DD6BF556D072DF31CCB32F33A68B7A,com.amazon.mShop.android.shopping,1241309016,32.2.0.100,28,35,,69,88,39,27,16,25,9,5,2,
D8885060ADB877C9B12D331FE919192A45BC036AC163F2E794841FA590B2B588,com.wildberries.ru,10060970,7.4.7000,26,35,,53,13,23,18,9,5,6,4,1,
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile,1185,26.1.0,28,35,,25,89,15,17,8,5,2,5,0,
9A07C0BBA5BC8E5A59230DA0853616327528FB7ED4FB29FFD814F9600231A98E,ru.beru.android,360830,2026.0.0.a,26,35,,38,99,29,27,17,18,4,8,3,
D112060FE3DFE0438C210E30CE90669EC9D3EC5AF97D4EDE7BBA46D9A3FC672B,com.bol.shop,415277,2026.2.0,26,35,,24,47,19,23,9,7,2,6,0,
6C4FCC752216A0ED5BE67C058A9ED6CAF1C8CFA70032C107EE23A3E8EF63CE44,com.avito.android,3241,216.6,27,35,,55,377,36,21,21,14,7,9,2,
CA9CE3BA252AD0530AABAE16F6CEAF1206C10D352631AECE6C704790F1C285D8,fr.vinted,260401,26.4.1,24,36,,29,83,18,23,13,12,2,6,1,
25689DB366425428AB6C683D1ABE2FC7A9DA2C5DE5132F23F1A194619B5AA141,ru.sberbankmobile,2025122914,17.1.0,26,35,,68,1058,42,31,27,17,10,9,3,
