sha256,region,category,pair_id,app_name,package,native_so_count_total,native_so_count_unique,native_so_names,native_abis,native_distinct_abis,native_top_abi
899FEA0EBC3F624C8BE992EA5FE1B9DD412DDF8E831F31E94151A59EBA734384,ru,transport_maps,maps,Yandex Maps,ru.yandex.yandexmaps,0,0,,,0,
35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,eu,transport_maps,maps,Google Maps,com.google.android.apps.maps,0,0,,,0,
8287C5937FC7DA4A35602D3AABA2ECD2045389DE0CBC84899326C55326832958,ru,transport_taxi,taxi,Yandex Go Taxi,ru.yandex.taxi,0,0,,,0,
B6101DA1A808E1DE0FFB8FFBBA7CEF2229E7DE08AA5D10AA6DE37D629CDF142F,eu,transport_taxi,taxi,Bolt,ee.mtakso.client,0,0,,,0,
F82235296527716D0EFC61D2B5395DE977274E9D91252EBCB932A66276344383,ru,transport_rail,rail1,RZD,ru.rzd.pass,18,9,libandroidx.graphics.path.so;libarcore_sdk_c.so;libarcore_sdk_jni.so;libc++_shared.so;libdatastore_shared_counter.so;libindoorssdk.so;libkfp-jni-lib.so;libmaplibre.so;libsqlcipher.so,arm64-v8a;armeabi-v7a,2,arm64-v8a
36619D4E2EA10AED11E8C77866ED5D167425548B1AD2C6D1EFF2850CA747A7AE,eu,transport_rail,rail1,DB Navigator,de.hafas.android.db,0,0,,,0,
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,ru,transport_rail,rail2,Yandex Trains,ru.yandex.rasp,0,0,,,0,
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,eu,transport_rail,rail2,Mobiliteit.lu,de.hafas.android.cdt,0,0,,,0,
035B74D8B9E2838F2C12B8524E44FDB4161FCACE63902580F9538855B4136FAE,ru,ecom_1,ecom1,Ozon,ru.ozon.app.android,0,0,,,0,
54FE2B7D1A0A2D38D80AED770DA7AAE620DD6BF556D072DF31CCB32F33A68B7A,eu,ecom_1,ecom1,Amazon Shopping,com.amazon.mShop.android.shopping,0,0,,,0,
D8885060ADB877C9B12D331FE919192A45BC036AC163F2E794841FA590B2B588,ru,ecom_2,ecom2,Wildberries,com.wildberries.ru,0,0,,,0,
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,eu,ecom_2,ecom2,Zalando,de.zalando.mobile,0,0,,,0,
9A07C0BBA5BC8E5A59230DA0853616327528FB7ED4FB29FFD814F9600231A98E,ru,ecom_3,ecom3,Yandex Market,ru.beru.android,0,0,,,0,
D112060FE3DFE0438C210E30CE90669EC9D3EC5AF97D4EDE7BBA46D9A3FC672B,eu,ecom_3,ecom3,bol,com.bol.shop,0,0,,,0,
6C4FCC752216A0ED5BE67C058A9ED6CAF1C8CFA70032C107EE23A3E8EF63CE44,ru,ecom_4,ecom4,Avito,com.avito.android,88,22,libandroidx.graphics.path.so;libbarhopper_v3.so;libcrashlytics-common.so;libcrashlytics-handler.so;libcrashlytics-trampoline.so;libcrashlytics.so;libface_detector_v2_jni.so;libgtc4core.so;libimage_processing_util_jni.so;libimagepipeline.so;libjingle_peerconnection_so.so;libmaps-mobile.so;libnative-filters.so;libnative-imagetranscoder.so;librenderscript-toolkit.so;libsentry-android.so;libsentry.so;libsigner.so;libsurface_util_jni.so;libtensorflowlite_jni.so;libtoolChecker.so;libzstd-jni-1.5.6-6.so,arm64-v8a;armeabi-v7a;x86;x86_64,4,arm64-v8a
CA9CE3BA252AD0530AABAE16F6CEAF1206C10D352631AECE6C704790F1C285D8,eu,ecom_4,ecom4,Vinted,fr.vinted,36,10,libPhoenixAndroid.so;libandroidx.graphics.path.so;libapplovin-native-crash-reporter.so;libdatastore_shared_counter.so;libe653.so;libeef0.so;libimage_processing_util_jni.so;libsigner.so;libsurface_util_jni.so;libtensorflowlite_jni_gms_client.so,arm64-v8a;armeabi-v7a;x86;x86_64,4,arm64-v8a
