sha256,region,category,pair_id,app_name,package,perm_count_local,permissions
E81541FB320BC58427611D50F6840C98F0D67D1AFD0B259342D996FB5BA03D66,eu,bank_1,bank1,BGL,lu.bgl.spm.retail,22,android.permission.ACCESS_ADSERVICES_AD_ID;android.permission.ACCESS_ADSERVICES_ATTRIBUTION;android.permission.ACCESS_NETWORK_STATE;android.permission.ACCESS_WIFI_STATE;android.permission.CALL_PHONE;android.permission.CAMERA;android.permission.FOREGROUND_SERVICE;android.permission.INTERNET;android.permission.POST_NOTIFICATIONS;android.permission.READ_EXTERNAL_STORAGE;android.permission.READ_PHONE_STATE;android.permission.RECEIVE_BOOT_COMPLETED;android.permission.SYSTEM_ALERT_WINDOW;android.permission.VIBRATE;android.permission.WAKE_LOCK;android.permission.WRITE_EXTERNAL_STORAGE;com.google.android.c2dm.permission.RECEIVE;com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE;com.google.android.gms.permission.AD_ID;com.personetics.module.permission.C2D_MESSAGE;lu.bgl.spm.retail.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION;lu.bgl.spm.retail.LISTEN_BEADVISED_BROADCAST
C43F18067802A90DA14D6CE8D0622782C8A594D8896B44994A32EC2E40EF409B,eu,bank_2,bank2,ING Luxembourg,com.ing.lu.mobile,11,android.permission.ACCESS_NETWORK_STATE;android.permission.ACCESS_WIFI_STATE;android.permission.CALL_PHONE;android.permission.INTERNET;android.permission.POST_NOTIFICATIONS;android.permission.READ_EXTERNAL_STORAGE;android.permission.USE_BIOMETRIC;android.permission.WAKE_LOCK;com.google.android.c2dm.permission.RECEIVE;com.ing.lu.mobile.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION;com.ing.lu.mobile.broadcast.permission
4639F77FE0014B8709F2A0A428665AB769AA2CBF0FD94161941EF6CB77FA154D,eu,bank_3,bank3,Revolut,com.revolut.revolut,50,android.permission.ACCESS_ADSERVICES_AD_ID;android.permission.ACCESS_ADSERVICES_ATTRIBUTION;android.permission.ACCESS_COARSE_LOCATION;android.permission.ACCESS_FINE_LOCATION;android.permission.ACCESS_NETWORK_STATE;android.permission.ACCESS_WIFI_STATE;android.permission.AUTHENTICATE_ACCOUNTS;android.permission.BLUETOOTH;android.permission.BLUETOOTH_ADMIN;android.permission.BLUETOOTH_CONNECT;android.permission.BLUETOOTH_SCAN;android.permission.CAMERA;android.permission.CHANGE_NETWORK_STATE;android.permission.CHANGE_WIFI_STATE;android.permission.DETECT_SCREEN_CAPTURE;android.permission.DETECT_SCREEN_RECORDING;android.permission.FOREGROUND_SERVICE;android.permission.FOREGROUND_SERVICE_MEDIA_PROJECTION;android.permission.FOREGROUND_SERVICE_MICROPHONE;android.permission.FOREGROUND_SERVICE_PHONE_CALL;android.permission.GET_ACCOUNTS;android.permission.HIGH_SAMPLING_RATE_SENSORS;android.permission.INTERNET;android.permission.MANAGE_OWN_CALLS;android.permission.MODIFY_AUDIO_SETTINGS;android.permission.NFC;android.permission.POST_NOTIFICATIONS;android.permission.QUERY_ALL_PACKAGES;android.permission.READ_CONTACTS;android.permission.READ_EXTERNAL_STORAGE;android.permission.READ_PHONE_NUMBERS;android.permission.READ_PHONE_STATE;android.permission.READ_SYNC_SETTINGS;android.permission.RECEIVE_BOOT_COMPLETED;android.permission.RECORD_AUDIO;android.permission.USE_BIOMETRIC;android.permission.USE_FINGERPRINT;android.permission.USE_FULL_SCREEN_INTENT;android.permission.VIBRATE;android.permission.WAKE_LOCK;android.permission.WRITE_CONTACTS;android.permission.WRITE_EXTERNAL_STORAGE;android.permission.WRITE_SYNC_SETTINGS;com.google.android.c2dm.permission.RECEIVE;com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE;com.google.android.gms.permission.AD_ID;com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA;com.revolut.chat_client.permission.C2D_MESSAGE;com.revolut.revolut.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION;com.revolut.revolut.lpa.permission.BROADCAST
F6433149E57CAA6551873324018736E03A4F5FD598B2FC3D6A1098EBAC29AF2B,eu,bank_4,bank4,BILnet,com.bil.android,26,android.permission.ACCESS_ADSERVICES_AD_ID;android.permission.ACCESS_ADSERVICES_ATTRIBUTION;android.permission.ACCESS_FINE_LOCATION;android.permission.ACCESS_NETWORK_STATE;android.permission.ACCESS_WIFI_STATE;android.permission.CAMERA;android.permission.DETECT_SCREEN_CAPTURE;android.permission.DOWNLOAD_WITHOUT_NOTIFICATION;android.permission.FLASHLIGHT;android.permission.FOREGROUND_SERVICE;android.permission.INTERNET;android.permission.MODIFY_AUDIO_SETTINGS;android.permission.POST_NOTIFICATIONS;android.permission.READ_EXTERNAL_STORAGE;android.permission.READ_PHONE_STATE;android.permission.RECEIVE_BOOT_COMPLETED;android.permission.RECORD_AUDIO;android.permission.SYSTEM_ALERT_WINDOW;android.permission.USE_BIOMETRIC;android.permission.USE_FINGERPRINT;android.permission.VIBRATE;android.permission.WAKE_LOCK;android.permission.WRITE_EXTERNAL_STORAGE;com.bil.android.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION;com.google.android.c2dm.permission.RECEIVE;com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
54FE2B7D1A0A2D38D80AED770DA7AAE620DD6BF556D072DF31CCB32F33A68B7A,eu,ecom_1,ecom1,Amazon Shopping,com.amazon.mShop.android.shopping,69,amazon.permission.COLLECT_METRICS;android.permission.ACCESS_BACKGROUND_LOCATION;android.permission.ACCESS_COARSE_LOCATION;android.permission.ACCESS_FINE_LOCATION;android.permission.ACCESS_NETWORK_STATE;android.permission.ACCESS_WIFI_STATE;android.permission.AUTHENTICATE_ACCOUNTS;android.permission.BLUETOOTH;android.permission.BLUETOOTH_ADMIN;android.permission.BLUETOOTH_ADVERTISE;android.permission.BLUETOOTH_CONNECT;android.permission.BLUETOOTH_SCAN;android.permission.CAMERA;android.permission.CHANGE_WIFI_STATE;android.permission.CREDENTIAL_MANAGER_QUERY_CANDIDATE_CREDENTIALS;android.permission.DETECT_SCREEN_CAPTURE;android.permission.FLASHLIGHT;android.permission.FOREGROUND_SERVICE;android.permission.FOREGROUND_SERVICE_LOCATION;android.permission.FOREGROUND_SERVICE_MEDIA_PLAYBACK;android.permission.GET_ACCOUNTS;android.permission.HIGH_SAMPLING_RATE_SENSORS;android.permission.INTERNET;android.permission.MANAGE_ACCOUNTS;android.permission.MODIFY_AUDIO_SETTINGS;android.permission.NEARBY_WIFI_DEVICES;android.permission.NFC;android.permission.POST_NOTIFICATIONS;android.permission.READ_BASIC_PHONE_STATE;android.permission.READ_CONTACTS;android.permission.READ_EXTERNAL_STORAGE;android.permission.READ_PHONE_STATE;android.permission.RECEIVE_BOOT_COMPLETED;android.permission.RECORD_AUDIO;android.permission.USE_BIOMETRIC;android.permission.USE_CREDENTIALS;android.permission.USE_FINGERPRINT;android.permission.VIBRATE;android.permission.WAKE_LOCK;android.permission.WRITE_EXTERNAL_STORAGE;com.amazon.appmanager.preload.permission.READ_PRELOAD_DEVICE_INFO_PROVIDER;com.amazon.dcp.config.permission.DYN_CONFIG_VALUES_UPDATED;com.amazon.dcp.metrics.permission.METRICS_PERMISSION;com.amazon.dcp.settings.permission.READ_SETTINGS;com.amazon.dcp.sso.permission.AmazonAccountPropertyService.property.changed;com.amazon.dcp.sso.permission.CUSTOMER_ATTRIBUTE_SERVICE;com.amazon.dcp.sso.permission.MANAGE_COR_PFM;com.amazon.dcp.sso.permission.USE_DEVICE_CREDENTIALS;com.amazon.dcp.sso.permission.account.changed;com.amazon.identity.auth.device.perm.AUTH_SDK;com.amazon.identity.permission.CALL_AMAZON_DEVICE_INFORMATION_PROVIDER;com.amazon.identity.permission.CAN_CALL_MAP_INFORMATION_PROVIDER;com.amazon.identity.permission.GENERIC_IPC;com.amazon.mShop.android.shopping.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION;com.amazon.whisperjoin.deviceprovisioningservice.AllowListPolicyUpdatePermission;com.amazon.whisperjoin.deviceprovisioningservice.ArcusUpdatePermission;com.amazon.whisperjoin.deviceprovisioningservice.FFSServiceActionPermission;com.android.launcher.permission.INSTALL_SHORTCUT;com.android.launcher.permission.READ_SETTINGS;com.android.vending.BILLING;com.android.vending.CHECK_LICENSE;com.google.android.apps.photos.permission.GOOGLE_PHOTOS;com.google.android.c2dm.permission.RECEIVE;com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE;com.google.android.gms.permission.AD_ID;com.htc.launcher.permission.READ_SETTINGS;com.htc.launcher.permission.UPDATE_SHORTCUT;com.sec.android.provider.badge.permission.READ;com.sec.android.provider.badge.permission.WRITE
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,eu,ecom_2,ecom2,Zalando,de.zalando.mobile,25,android.permission.ACCESS_ADSERVICES_AD_ID;android.permission.ACCESS_ADSERVICES_ATTRIBUTION;android.permission.ACCESS_NETWORK_STATE;android.permission.ACCESS_WIFI_STATE;android.permission.CAMERA;android.permission.FOREGROUND_SERVICE;android.permission.FOREGROUND_SERVICE_DATA_SYNC;android.permission.INTERNET;android.permission.MICROPHONE;android.permission.POST_NOTIFICATIONS;android.permission.READ_EXTERNAL_STORAGE;android.permission.READ_MEDIA_IMAGES;android.permission.READ_MEDIA_VIDEO;android.permission.READ_MEDIA_VISUAL_USER_SELECTED;android.permission.RECEIVE_BOOT_COMPLETED;android.permission.RECORD_AUDIO;android.permission.SCHEDULE_EXACT_ALARM;android.permission.VIBRATE;android.permission.WAKE_LOCK;android.permission.WRITE_EXTERNAL_STORAGE;com.adjust.preinstall.READ_PERMISSION;com.google.android.c2dm.permission.RECEIVE;com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE;com.google.android.gms.permission.AD_ID;de.zalando.mobile.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION
D112060FE3DFE0438C210E30CE90669EC9D3EC5AF97D4EDE7BBA46D9A3FC672B,eu,ecom_3,ecom3,bol,com.bol.shop,24,android.permission.ACCESS_ADSERVICES_AD_ID;android.permission.ACCESS_ADSERVICES_ATTRIBUTION;android.permission.ACCESS_ADSERVICES_TOPICS;android.permission.ACCESS_NETWORK_STATE;android.permission.ACCESS_WIFI_STATE;android.permission.CAMERA;android.permission.DOWNLOAD_WITHOUT_NOTIFICATION;android.permission.FOREGROUND_SERVICE;android.permission.INTERNET;android.permission.POST_NOTIFICATIONS;android.permission.REORDER_TASKS;android.permission.USE_BIOMETRIC;android.permission.USE_FINGERPRINT;android.permission.VIBRATE;android.permission.WAKE_LOCK;android.permission.WRITE_EXTERNAL_STORAGE;com.bol.shop.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION;com.bol.shop.permission.C2D_MESSAGE;com.google.android.c2dm.permission.RECEIVE;com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE;com.google.android.gms.permission.AD_ID;com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA;com.samsung.android.mapsagent.permission.READ_APP_INFO;com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY
CA9CE3BA252AD0530AABAE16F6CEAF1206C10D352631AECE6C704790F1C285D8,eu,ecom_4,ecom4,Vinted,fr.vinted,29,android.permission.ACCESS_ADSERVICES_AD_ID;android.permission.ACCESS_ADSERVICES_ATTRIBUTION;android.permission.ACCESS_ADSERVICES_CUSTOM_AUDIENCE;android.permission.ACCESS_ADSERVICES_TOPICS;android.permission.ACCESS_COARSE_LOCATION;android.permission.ACCESS_FINE_LOCATION;android.permission.ACCESS_NETWORK_STATE;android.permission.ACCESS_WIFI_STATE;android.permission.CAMERA;android.permission.CHANGE_WIFI_STATE;android.permission.FOREGROUND_SERVICE;android.permission.HIDE_OVERLAY_WINDOWS;android.permission.INTERNET;android.permission.POST_NOTIFICATIONS;android.permission.READ_EXTERNAL_STORAGE;android.permission.READ_MEDIA_IMAGES;android.permission.READ_MEDIA_VISUAL_USER_SELECTED;android.permission.REORDER_TASKS;android.permission.USE_BIOMETRIC;android.permission.USE_FINGERPRINT;android.permission.VIBRATE;android.permission.WAKE_LOCK;android.permission.WRITE_EXTERNAL_STORAGE;com.applovin.array.apphub.permission.BIND_APPHUB_SERVICE;com.google.android.c2dm.permission.RECEIVE;com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE;com.google.android.gms.permission.AD_ID;com.google.android.providers.gsf.permission.READ_GSERVICES;fr.vinted.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,eu,gov_eid,gov3,itsme,be.bmid.itsme,18,android.permission.ACCESS_ADSERVICES_AD_ID;android.permission.ACCESS_ADSERVICES_ATTRIBUTION;android.permission.ACCESS_NETWORK_STATE;android.permission.CAMERA;android.permission.HIDE_OVERLAY_WINDOWS;android.permission.INTERNET;android.permission.NFC;android.permission.POST_NOTIFICATIONS;android.permission.READ_EXTERNAL_STORAGE;android.permission.READ_PHONE_STATE;android.permission.REORDER_TASKS;android.permission.USE_BIOMETRIC;android.permission.USE_FINGERPRINT;android.permission.VIBRATE;android.permission.WAKE_LOCK;android.permission.WRITE_EXTERNAL_STORAGE;be.bmid.itsme.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION;com.google.android.c2dm.permission.RECEIVE
36098542A5109843B1517F0F2B3667CB3EA0A84AD3B60E2DA658F5A398D3EE31,eu,gov_portal,gov1,MyGuichet.lu,lu.etat.fp.gun.android,17,android.permission.ACCESS_COARSE_LOCATION;android.permission.ACCESS_FINE_LOCATION;android.permission.ACCESS_NETWORK_STATE;android.permission.BATTERY_STATS;android.permission.CAMERA;android.permission.FLASHLIGHT;android.permission.INTERNET;android.permission.POST_NOTIFICATIONS;android.permission.READ_EXTERNAL_STORAGE;android.permission.RECEIVE_BOOT_COMPLETED;android.permission.USE_BIOMETRIC;android.permission.USE_FINGERPRINT;android.permission.VIBRATE;android.permission.WAKE_LOCK;com.android.vending.CHECK_LICENSE;com.google.android.c2dm.permission.RECEIVE;lu.etat.fp.gun.android.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION
