category,pair_id,ru_app,eu_app,metric,value
bank_1,bank1,Sberbank,BGL,delta_exported_total_ru_minus_eu,29
bank_1,bank1,Sberbank,BGL,delta_perm_local_ru_minus_eu,46
bank_1,bank1,Sberbank,BGL,eu_exported_comp_total,10
bank_1,bank1,Sberbank,BGL,eu_perm_count_local,22
bank_1,bank1,Sberbank,BGL,eu_vt_dangerous_perm_count,0
bank_1,bank1,Sberbank,BGL,eu_vt_malicious,0
bank_1,bank1,Sberbank,BGL,eu_vt_perm_count,0
bank_1,bank1,Sberbank,BGL,eu_vt_suspicious,0
bank_1,bank1,Sberbank,BGL,ru_exported_comp_total,39
bank_1,bank1,Sberbank,BGL,ru_perm_count_local,68
bank_1,bank1,Sberbank,BGL,ru_vt_dangerous_perm_count,19
bank_1,bank1,Sberbank,BGL,ru_vt_malicious,0
bank_1,bank1,Sberbank,BGL,ru_vt_perm_count,68
bank_1,bank1,Sberbank,BGL,ru_vt_suspicious,0
bank_2,bank2,Tinkoff,ING Luxembourg,delta_exported_total_ru_minus_eu,59
bank_2,bank2,Tinkoff,ING Luxembourg,delta_perm_local_ru_minus_eu,64
bank_2,bank2,Tinkoff,ING Luxembourg,eu_exported_comp_total,4
bank_2,bank2,Tinkoff,ING Luxembourg,eu_perm_count_local,11
bank_2,bank2,Tinkoff,ING Luxembourg,eu_vt_dangerous_perm_count,3
bank_2,bank2,Tinkoff,ING Luxembourg,eu_vt_malicious,0
bank_2,bank2,Tinkoff,ING Luxembourg,eu_vt_perm_count,11
bank_2,bank2,Tinkoff,ING Luxembourg,eu_vt_suspicious,0
bank_2,bank2,Tinkoff,ING Luxembourg,ru_exported_comp_total,63
bank_2,bank2,Tinkoff,ING Luxembourg,ru_perm_count_local,75
bank_2,bank2,Tinkoff,ING Luxembourg,ru_vt_dangerous_perm_count,23
bank_2,bank2,Tinkoff,ING Luxembourg,ru_vt_malicious,0
bank_2,bank2,Tinkoff,ING Luxembourg,ru_vt_perm_count,75
bank_2,bank2,Tinkoff,ING Luxembourg,ru_vt_suspicious,0
bank_3,bank3,Alfa Bank,Revolut,delta_exported_total_ru_minus_eu,0
bank_3,bank3,Alfa Bank,Revolut,delta_perm_local_ru_minus_eu,-4
bank_3,bank3,Alfa Bank,Revolut,eu_exported_comp_total,19
bank_3,bank3,Alfa Bank,Revolut,eu_perm_count_local,50
bank_3,bank3,Alfa Bank,Revolut,eu_vt_dangerous_perm_count,14
bank_3,bank3,Alfa Bank,Revolut,eu_vt_malicious,0
bank_3,bank3,Alfa Bank,Revolut,eu_vt_perm_count,50
bank_3,bank3,Alfa Bank,Revolut,eu_vt_suspicious,0
bank_3,bank3,Alfa Bank,Revolut,ru_exported_comp_total,19
bank_3,bank3,Alfa Bank,Revolut,ru_perm_count_local,46
bank_3,bank3,Alfa Bank,Revolut,ru_vt_dangerous_perm_count,13
bank_3,bank3,Alfa Bank,Revolut,ru_vt_malicious,0
