category,pair_id,ru_app,eu_app,ru_sha256,eu_sha256,ru_package,eu_package,ru_perm_count_local,eu_perm_count_local,delta_perm_local_ru_minus_eu,ru_exported_comp_total,eu_exported_comp_total,delta_exported_total_ru_minus_eu,ru_vt_malicious,eu_vt_malicious,ru_vt_suspicious,eu_vt_suspicious,ru_vt_perm_count,eu_vt_perm_count,ru_vt_dangerous_perm_count,eu_vt_dangerous_perm_count
bank_1,bank1,Sberbank,BGL,25689DB366425428AB6C683D1ABE2FC7A9DA2C5DE5132F23F1A194619B5AA141,E81541FB320BC58427611D50F6840C98F0D67D1AFD0B259342D996FB5BA03D66,ru.sberbankmobile,lu.bgl.spm.retail,68,22,46,39,10,29,0,0,0,0,68,0,19,0
bank_2,bank2,Tinkoff,ING Luxembourg,AEB8DD6E08F45707C0250F88B340D52A5DAB11D818C9BDD87DB4D64ACDB69DA5,C43F18067802A90DA14D6CE8D0622782C8A594D8896B44994A32EC2E40EF409B,com.idamob.tinkoff.android,com.ing.lu.mobile,75,11,64,63,4,59,0,0,0,0,75,11,23,3
bank_3,bank3,Alfa Bank,Revolut,EE840CCCB173415F19C6C05F77D90483507F5FA6E523452C6347DBFA68CAA106,4639F77FE0014B8709F2A0A428665AB769AA2CBF0FD94161941EF6CB77FA154D,ru.alfabank.oavdo.amc,com.revolut.revolut,46,50,-4,19,19,0,0,0,0,0,46,50,13,14
bank_4,bank4,VTB,BILnet,DFCA79723F76139789279379A3DCEEDB483E85F8500A53E74B2616A2FC6E7A3B,F6433149E57CAA6551873324018736E03A4F5FD598B2FC3D6A1098EBAC29AF2B,ru.vtb24.mobilebanking.android,com.bil.android,63,26,37,29,9,20,0,0,0,0,63,26,21,7
ecom_1,ecom1,Ozon,Amazon Shopping,035B74D8B9E2838F2C12B8524E44FDB4161FCACE63902580F9538855B4136FAE,54FE2B7D1A0A2D38D80AED770DA7AAE620DD6BF556D072DF31CCB32F33A68B7A,ru.ozon.app.android,com.amazon.mShop.android.shopping,34,69,-35,22,41,-19,0,0,0,0,34,69,11,15
ecom_2,ecom2,Wildberries,Zalando,D8885060ADB877C9B12D331FE919192A45BC036AC163F2E794841FA590B2B588,539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,com.wildberries.ru,de.zalando.mobile,53,25,28,16,12,4,0,0,0,0,53,0,10,0
ecom_3,ecom3,Yandex Market,bol,9A07C0BBA5BC8E5A59230DA0853616327528FB7ED4FB29FFD814F9600231A98E,D112060FE3DFE0438C210E30CE90669EC9D3EC5AF97D4EDE7BBA46D9A3FC672B,ru.beru.android,com.bol.shop,38,24,14,33,15,18,0,0,0,0,38,24,12,3
ecom_4,ecom4,Avito,Vinted,6C4FCC752216A0ED5BE67C058A9ED6CAF1C8CFA70032C107EE23A3E8EF63CE44,CA9CE3BA252AD0530AABAE16F6CEAF1206C10D352631AECE6C704790F1C285D8,com.avito.android,fr.vinted,55,29,26,32,21,11,0,0,0,0,55,29,17,8
gov_portal,gov1,Gosuslugi,MyGuichet.lu,E80E01FAC8C0DBFF5281E293C218550283DAD17A2B6A72A4F4CE00482212746B,36098542A5109843B1517F0F2B3667CB3EA0A84AD3B60E2DA658F5A398D3EE31,ru.rostel,lu.etat.fp.gun.android,35,17,18,15,4,11,0,0,0,0,35,17,10,5
gov_tax,gov2,Nalogi FL,impots.gouv,69246362D31AADEB38D0EA1DD697A2D2AE02AC17503322CE9E1A99898C048A0B,20E4DD695F2E2358736AFD226911EDF1ACA7E988AEC3E33005B7FB22D13BE10C,ru.fns.lkfl,fr.gouv.finances.smartphone.android,29,37,-8,11,7,4,0,0,0,0,29,37,8,7
