sha256,prefix,depth,class_count
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,com.google,2,6494
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,org.bouncycastle,2,6279
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,com.google.android,3,4942
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,com.google.android.gms,4,4796
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,com.google.android.gms.internal,5,3043
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,be.bmid,2,2863
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,org.bouncycastle.jcajce,3,1739
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,org.bouncycastle.jcajce.provider,4,1616
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,com.iproov,2,1328
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,com.iproov.sdk,3,1328
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,com.iproov.sdk.core,4,1313
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,nl.innovalor,2,1188
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,org.bouncycastle.pqc,3,1172
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,com.google.firebase,3,1150
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,com.readid,2,1000
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,org.bouncycastle.crypto,3,831
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,org.bouncycastle.asn1,3,748
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,org.bouncycastle.jcajce.provider.asymmetric,5,691
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,com.google.android.gms.internal.mlkit_vision_barcode,6,684
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,com.google.android.gms.common,5,623
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,org.bouncycastle.jcajce.provider.symmetric,5,579
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,com.google.android.gms.internal.mlkit_common,6,517
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,org.bouncycastle.pqc.jcajce,4,502
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,be.bmid.enrollment,3,488
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,com.google.android.gms.internal.measurement,6,488
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,org.bouncycastle.pqc.crypto,4,478
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,be.bmid.feature,3,462
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,be.bmid.enrollment.impl,4,455
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,com.google.android.gms.measurement,5,452
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,org.bouncycastle.pqc.jcajce.provider,5,443
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,com.google.android.gms.measurement.internal,6,434
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,com.google.android.gms.internal.mlkit_vision_face,6,420
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,com.amplitude,2,412
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,be.bmid.enrollment.impl.ui,5,409
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,com.readid.core,3,409
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,be.bmid.network,3,408
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,com.google.firebase.crashlytics,4,370
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,com.google.android.gms.internal.mlkit_vision_common,6,362
