sha256,prefix,depth,class_count
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,de.hafas,2,2312
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,com.google,2,702
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,io.ktor,2,565
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,io.ktor.client,3,565
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,com.google.android,3,545
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,de.hafas.data,3,458
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,de.hafas.utils,3,371
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,io.ktor.client.plugins,4,314
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,com.google.android.material,4,312
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,de.hafas.ui,3,266
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,com.google.android.gms,4,202
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,de.hafas.app,3,179
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,de.hafas.ui.view,4,169
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,de.hafas.android,3,158
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,com.google.android.gms.internal,5,144
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,com.google.android.gms.internal.gtm,6,143
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,de.hafas.app.menu,4,140
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,de.hafas.map,3,107
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,com.google.firebase,3,104
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,io.ktor.client.request,4,104
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,de.hafas.cloud,3,103
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,de.hafas.cloud.model,4,103
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,de.hafas.tariff,3,97
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,de.hafas.maps,3,91
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,io.ktor.client.plugins.cache,5,66
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,de.hafas.data.history,4,65
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,io.ktor.client.engine,4,62
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,de.hafas.map.screen,4,58
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,de.hafas.utils.livedata,4,57
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,de.hafas.app.menu.navigationactions,5,54
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,de.hafas.android.utils,4,52
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,de.hafas.map.viewmodel,4,49
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,de.hafas.spf,3,43
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,de.hafas.ui.planner,4,42
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,de.hafas.home,3,40
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,de.hafas.home.view,4,40
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,de.hafas.ui.planner.screen,5,40
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,com.canhub,2,39
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,com.canhub.cropper,3,39
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,io.ktor.client.plugins.websocket,5,38
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,com.google.accompanist,3,36
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,com.google.accompanist.themeadapter,4,36
