sha256,prefix,depth,class_count
35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,com.google,2,2285
35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,com.google.android,3,1718
35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,com.fasterxml,2,862
35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,com.fasterxml.jackson,3,862
35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,com.fasterxml.jackson.databind,4,668
35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,com.google.android.gms,4,512
35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,com.google.android.libraries,4,500
35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,j$.util,2,459
35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,com.google.ar,3,422
35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,com.google.android.glasses,4,294
35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,com.google.android.glasses.sdk,5,294
35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,j$.util.stream,3,287
35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,com.google.android.libraries.elements,5,270
35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,com.google.android.apps,4,264
35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,com.google.android.libraries.elements.interfaces,6,261
35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,com.google.android.apps.gmm,5,248
35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,com.google.ar.core,4,242
35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,com.google.android.glasses.sdk.perception,6,191
35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,com.google.ar.imp,4,178
35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,com.fasterxml.jackson.databind.deser,5,175
35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,com.google.ar.imp.core,5,173
35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,com.google.ar.imp.core.scripting,6,164
35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,j$.time,2,133
35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,com.fasterxml.jackson.core,4,130
35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,com.fasterxml.jackson.databind.ser,5,122
