sha256,prefix,depth,class_count
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando,2,23498
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile,3,21821
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.dtos,4,9023
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.dtos.fsa,5,8510
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.features,4,6123
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.dtos.fsa.fragment,6,3750
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.features.sizing,5,2714
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.ui,4,2428
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,com.google,2,2071
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,com.facebook,2,1651
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.appcraft,3,1576
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.features.sizing.fitfirst,6,1086
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,com.google.android,3,994
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.features.wardrobe,5,955
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.features.wardrobe.root,6,955
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.features.sizing.yoursizes,6,941
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.appcraft.core,4,940
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.appcraft.core.domain,5,900
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,com.braze,2,897
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,com.facebook.react,3,894
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.sizing,4,880
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.dtos.fsa.pdp,6,856
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.zds2,4,746
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.zds2.library,5,746
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.ui.pdp,5,742
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.dtos.fsa.wardrobe,6,704
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,com.google.android.gms,4,687
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.zds2.library.primitives,6,634
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,com.google.android.gms.internal,5,591
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.appcraft.core.domain.api,6,533
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.dtos.v3,5,513
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.sizing.bodyprofile,5,507
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.features.creatorstudio,5,496
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.features.creatorstudio.impl,6,496
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,io.reactivex,2,470
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,io.reactivex.internal,3,442
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.features.product,5,432
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,com.google.android.gms.internal.measurement,6,415
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.dtos.fsa.catalog,6,408
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.dtos.fsa.zircle,6,376
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,io.reactivex.internal.operators,4,375
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.ui.catalog,5,373
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,com.google.firebase,3,361
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.sizing.onboarding,5,337
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.dtos.fsa.customer,6,331
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.features.dpscatalog,5,324
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.sizing.bodyprofile.step,6,316
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.features.boards,5,296
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.features.boards.screen,6,296
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,com.facebook.litho,3,294
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.wardrobe,4,288
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,com.google.common,3,286
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.appcraft.ui,4,278
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.appcraft.core.domain.redux,6,270
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.wardrobe.ui,5,269
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.zircle,4,253
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.features.purchase,5,249
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,com.braze.ui,3,247
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,com.google.common.collect,4,244
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,com.google.android.material,4,242
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,de.zalando.mobile.ui.pdp.state,6,241
