sha256,prefix,depth,class_count
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.yandex,2,19559
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.yandex.passport,3,5467
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.google,2,5151
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.yandex.passport.internal,4,4580
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.yandex.mobile,3,4163
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.yandex.mobile.ads,4,4163
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.yandex.mobile.ads.impl,5,4084
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,ru.yandex,2,4047
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,ru.yandex.rasp,3,3949
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.yandex.div2,3,3304
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.google.android,3,3180
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.yandex.payment,3,2628
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,io.appmetrica,2,2615
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,io.appmetrica.analytics,3,2615
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.yandex.div,3,2091
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.google.android.gms,4,1929
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.yandex.passport.internal.ui,5,1612
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,io.appmetrica.analytics.impl,4,1568
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.yandex.payment.sdk,4,1535
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,ru.yandex.rasp.ui,4,1433
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.facebook,2,1282
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.yandex.div.core,4,1181
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.google.android.material,4,1042
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.yandex.xplat,3,990
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.yandex.payment.divkit,4,938
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,io.reactivex,2,889
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.google.protobuf,3,821
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.google.android.gms.internal,5,799
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,io.reactivex.internal,3,777
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.yandex.div.core.view2,5,704
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.yandex.passport.internal.network,5,686
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.yandex.payment.sdk.ui,5,669
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,io.reactivex.internal.operators,4,622
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.yandex.xplat.payment,4,606
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.yandex.xplat.payment.sdk,5,606
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.yandex.passport.internal.network.backend,6,544
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.facebook.stetho,3,537
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.bumptech,2,534
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.bumptech.glide,3,534
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.yandex.passport.internal.ui.bouncer,6,516
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,ru.yandex.rasp.ui.main,5,515
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.yandex.passport.sloth,4,491
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,io.opentelemetry,2,467
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.yandex.pulse,3,463
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.yandex.passport.internal.report,5,455
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.google.crypto,3,439
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.google.crypto.tink,4,439
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.yandex.div.core.view2.divs,6,427
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,ru.yandex.rasp.util,4,408
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.google.android.gms.common,5,400
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,ru.yandex.rasp.data,4,397
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.yandex.div.evaluable,4,395
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,io.reactivex.internal.operators.observable,5,378
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.yandex.passport.internal.methods,5,377
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,ru.domesticroots,2,375
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.bumptech.glide.load,4,374
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.yandex.payment.sdk.core,5,369
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.facebook.stetho.inspector,4,365
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,ru.yandex.rasp.feature,4,360
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,ru.yandex.rasp.feature.verticals,5,322
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.yandex.div.internal,4,300
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,ru.yandex.rasp.ui.tickets,5,296
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.yandex.div.evaluable.function,5,289
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,org.simpleframework,2,286
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,org.simpleframework.xml,3,286
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.google.android.gms.internal.vision,6,282
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.yandex.metrica,3,272
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,com.yandex.metrica.push,4,272
