sha256,prefix,depth,class_count
67EB78A11CBF51691544A32384E09E568486B214AFEBEC847A235EA0CD83074E,com.yandex,2,5218
67EB78A11CBF51691544A32384E09E568486B214AFEBEC847A235EA0CD83074E,com.yandex.passport,3,3614
67EB78A11CBF51691544A32384E09E568486B214AFEBEC847A235EA0CD83074E,com.yandex.passport.internal,4,2628
67EB78A11CBF51691544A32384E09E568486B214AFEBEC847A235EA0CD83074E,io.appmetrica,2,2522
67EB78A11CBF51691544A32384E09E568486B214AFEBEC847A235EA0CD83074E,io.appmetrica.analytics,3,2522
67EB78A11CBF51691544A32384E09E568486B214AFEBEC847A235EA0CD83074E,ru.yandex,2,1793
67EB78A11CBF51691544A32384E09E568486B214AFEBEC847A235EA0CD83074E,io.appmetrica.analytics.impl,4,1497
67EB78A11CBF51691544A32384E09E568486B214AFEBEC847A235EA0CD83074E,com.google,2,1366
67EB78A11CBF51691544A32384E09E568486B214AFEBEC847A235EA0CD83074E,com.google.protobuf,3,1142
67EB78A11CBF51691544A32384E09E568486B214AFEBEC847A235EA0CD83074E,com.yandex.passport.internal.ui,5,977
67EB78A11CBF51691544A32384E09E568486B214AFEBEC847A235EA0CD83074E,com.yandex.messaging,3,905
67EB78A11CBF51691544A32384E09E568486B214AFEBEC847A235EA0CD83074E,ru.yandex.goloom,3,826
67EB78A11CBF51691544A32384E09E568486B214AFEBEC847A235EA0CD83074E,ru.yandex.goloom.lib,4,826
67EB78A11CBF51691544A32384E09E568486B214AFEBEC847A235EA0CD83074E,ru.yandex.goloom.lib.model,5,824
67EB78A11CBF51691544A32384E09E568486B214AFEBEC847A235EA0CD83074E,ru.yandex.goloom.lib.model.signaling,6,747
67EB78A11CBF51691544A32384E09E568486B214AFEBEC847A235EA0CD83074E,com.yandex.messaging.core,4,627
67EB78A11CBF51691544A32384E09E568486B214AFEBEC847A235EA0CD83074E,com.yandex.messaging.core.net,5,625
67EB78A11CBF51691544A32384E09E568486B214AFEBEC847A235EA0CD83074E,com.yandex.messaging.core.net.entities,6,623
67EB78A11CBF51691544A32384E09E568486B214AFEBEC847A235EA0CD83074E,ru.yandex.alice,3,557
67EB78A11CBF51691544A32384E09E568486B214AFEBEC847A235EA0CD83074E,com.yandex.passport.data,4,435
