sha256,prefix,depth,class_count
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,ru.solitclouds,2,5033
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,ru.solitclouds.android,3,5033
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,io.appmetrica,2,1763
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,io.appmetrica.analytics,3,1763
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,io.appmetrica.analytics.impl,4,1269
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,com.facebook,2,1222
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,com.google,2,1061
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,com.facebook.react,3,922
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,com.google.android,3,873
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,ru.solitclouds.android.emiasinfo,4,766
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,ru.solitclouds.android.appointment,4,759
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,ru.solitclouds.android.appointment.presentation,5,756
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,ru.solitclouds.android.appointment.presentation.fragments,6,756
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,io.sentry,2,742
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,com.huawei,2,708
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,com.huawei.hms,3,704
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,com.google.android.gms,4,626
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,com.google.android.gms.internal,5,572
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,com.yandex,2,519
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,com.google.android.gms.internal.measurement,6,421
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,org.webrtc,2,411
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,ru.solitclouds.android.pillbox,4,378
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,ru.solitclouds.android.pillbox.presentation,5,378
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,ru.solitclouds.android.pillbox.presentation.fragment,6,378
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,com.yandex.mapkit,3,305
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,ru.solitclouds.android.healthdiaries,4,303
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,ru.solitclouds.android.healthdiaries.presentation,5,303
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,ru.solitclouds.android.healthdiaries.presentation.fragments,6,303
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,ru.solitclouds.android.simi,4,286
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,io.sentry.android,3,260
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,ru.solitclouds.android.policy,4,246
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,ru.solitclouds.android.policy.presentation,5,246
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,com.google.android.material,4,234
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,ru.solitclouds.android.emiasinfo.fragment,5,229
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,com.yandex.runtime,3,214
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,okhttp3.internal,2,213
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,ru.solitclouds.android.vaccine,4,205
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,ru.solitclouds.android.vaccine.presentation,5,205
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,ru.solitclouds.android.vaccine.presentation.fragments,6,205
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,com.facebook.react.uimanager,4,189
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,ru.solitclouds.android.auth,4,186
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,ru.solitclouds.android.auth.presentation,5,186
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,ru.solitclouds.android.auth.presentation.fragments,6,186
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,ru.solitclouds.android.lifeanamnesis,4,183
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,ru.solitclouds.android.lifeanamnesis.presentation,5,183
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,ru.solitclouds.android.lifeanamnesis.presentation.fragmnets,6,182
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,com.facebook.react.bridge,4,181
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,com.horcrux,2,166
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,com.horcrux.svg,3,166
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,ru.solitclouds.android.prescriptions,4,156
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,ru.solitclouds.android.prescriptions.presentation,5,156
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,com.google.android.gms.internal.auth,6,151
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,com.google.crypto,3,151
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,com.google.crypto.tink,4,151
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,com.google.crypto.tink.shaded,5,151
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,com.google.crypto.tink.shaded.protobuf,6,151
