sha256,prefix,depth,class_count
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,com.google,2,9468
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,ru.rtlabs,2,8861
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,ru.rtlabs.mobile,3,7032
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,ru.rtlabs.mobile.ebs,4,7032
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,com.google.android,3,5078
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,org.bouncycastle,2,4725
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,com.google.android.gms,4,3819
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,ru.rtlabs.mobile.ebs.presentation,5,2787
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,com.google.android.gms.internal,5,2673
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,com.google.common,3,1875
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,ru.rtlabs.ebs,3,1829
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,io.reactivex,2,1805
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,com.google.crypto,3,1534
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,com.google.crypto.tink,4,1534
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,ru.rtlabs.mobile.ebs.ui,5,1487
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,io.reactivex.internal,3,1467
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,org.bouncycastle.jcajce,3,1308
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,io.reactivex.internal.operators,4,1260
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,org.bouncycastle.jcajce.provider,4,1227
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,com.google.android.gms.internal.mlkit_vision_text_bundled_common,6,1013
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,kavsdk.o,2,913
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,ru.rtlabs.mobile.ebs.model,5,867
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,ru.rtlabs.ebs.core,4,846
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,com.google.common.collect,4,833
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,com.google.android.material,4,799
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,org.apache,2,788
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,org.apache.commons,3,788
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,ru.rtlabs.mobile.ebs.domain,5,684
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,org.bouncycastle.asn1,3,681
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,org.bouncycastle.crypto,3,619
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,ru.rtlabs.mobile.ebs.di,5,619
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,com.google.android.gms.common,5,614
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,com.bumptech,2,607
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,com.bumptech.glide,3,607
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,ru.rtlabs.mobile.ebs.presentation.self_reg,6,586
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,com.google.android.gms.internal.mlkit_vision_text_common,6,583
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,org.bouncycastle.jcajce.provider.symmetric,5,523
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,org.apache.commons.collections4,4,518
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,com.google.android.gms.internal.mlkit_common,6,517
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,com.kavsdk,2,471
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,io.reactivex.internal.operators.flowable,5,436
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,com.google.crypto.tink.proto,5,430
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,org.bouncycastle.jcajce.provider.asymmetric,5,410
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,org.bouncycastle.pqc,3,397
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,ru.rtlabs.mobile.ebs.presentation.dev,6,397
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,com.bumptech.glide.load,4,394
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,ru.rtlabs.ebs.core.base,5,394
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,ru.rtlabs.ebs.verification,4,390
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,io.reactivex.internal.operators.observable,5,384
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,ru.rtlabs.mobile.ebs.di.module,6,384
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,com.google.android.gms.internal.mlkit_vision_common,6,362
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,com.google.crypto.tink.shaded,5,360
D268B65EF6833D29DDAE019FE2A73C0F13C781F9465A1A72C5C9BB629EAC7FAA,com.google.crypto.tink.shaded.protobuf,6,360
