sha256,prefix,depth,class_count
E81541FB320BC58427611D50F6840C98F0D67D1AFD0B259342D996FB5BA03D66,lu.bgl,2,10234
E81541FB320BC58427611D50F6840C98F0D67D1AFD0B259342D996FB5BA03D66,lu.bgl.spm,3,10234
E81541FB320BC58427611D50F6840C98F0D67D1AFD0B259342D996FB5BA03D66,com.google,2,8027
E81541FB320BC58427611D50F6840C98F0D67D1AFD0B259342D996FB5BA03D66,lu.bgl.spm.core,4,3987
E81541FB320BC58427611D50F6840C98F0D67D1AFD0B259342D996FB5BA03D66,com.google.android,3,3004
E81541FB320BC58427611D50F6840C98F0D67D1AFD0B259342D996FB5BA03D66,lu.bgl.spm.core.activities,5,2831
E81541FB320BC58427611D50F6840C98F0D67D1AFD0B259342D996FB5BA03D66,lu.bgl.spm.core.activities.modules,6,2599
E81541FB320BC58427611D50F6840C98F0D67D1AFD0B259342D996FB5BA03D66,com.google.common,3,1982
E81541FB320BC58427611D50F6840C98F0D67D1AFD0B259342D996FB5BA03D66,com.google.android.gms,4,1849
E81541FB320BC58427611D50F6840C98F0D67D1AFD0B259342D996FB5BA03D66,io.reactivex,2,1669
E81541FB320BC58427611D50F6840C98F0D67D1AFD0B259342D996FB5BA03D66,io.reactivex.internal,3,1467
E81541FB320BC58427611D50F6840C98F0D67D1AFD0B259342D996FB5BA03D66,com.google.crypto,3,1452
E81541FB320BC58427611D50F6840C98F0D67D1AFD0B259342D996FB5BA03D66,com.google.crypto.tink,4,1452
E81541FB320BC58427611D50F6840C98F0D67D1AFD0B259342D996FB5BA03D66,lu.bgl.spm.ui,4,1376
E81541FB320BC58427611D50F6840C98F0D67D1AFD0B259342D996FB5BA03D66,lu.bgl.spm.domainLayer,4,1371
E81541FB320BC58427611D50F6840C98F0D67D1AFD0B259342D996FB5BA03D66,io.reactivex.internal.operators,4,1260
E81541FB320BC58427611D50F6840C98F0D67D1AFD0B259342D996FB5BA03D66,lu.bgl.spm.data,4,1164
E81541FB320BC58427611D50F6840C98F0D67D1AFD0B259342D996FB5BA03D66,lu.bgl.spm.dataLayer,4,1055
E81541FB320BC58427611D50F6840C98F0D67D1AFD0B259342D996FB5BA03D66,lu.bgl.spm.presentation,4,1033
E81541FB320BC58427611D50F6840C98F0D67D1AFD0B259342D996FB5BA03D66,com.google.firebase,3,1025
E81541FB320BC58427611D50F6840C98F0D67D1AFD0B259342D996FB5BA03D66,org.apache,2,1022
E81541FB320BC58427611D50F6840C98F0D67D1AFD0B259342D996FB5BA03D66,org.apache.commons,3,1022
E81541FB320BC58427611D50F6840C98F0D67D1AFD0B259342D996FB5BA03D66,lu.bgl.spm.dataLayer.remote,5,1013
E81541FB320BC58427611D50F6840C98F0D67D1AFD0B259342D996FB5BA03D66,lu.bgl.spm.presentation.viewModels,5,964
