sha256,classes_nonplatform,unique_prefixes_total,unique_prefixes_d2,unique_prefixes_d3,unique_prefixes_d4,first_party_guess_prefix,obfuscation_score_d3,top_prefix_d3,top_prefix_d3_class_count,
003E0EFCAF3729FC940D44FE0CAD158D2D377D46755532D460E74766A4449B99,37154,29371,16564,506,2172,com.google.android,0,com.google.android,4942,
035B74D8B9E2838F2C12B8524E44FDB4161FCACE63902580F9538855B4136FAE,108719,37975,27891,515,1687,ru.ozon.app,0,ru.ozon.app,60264,
0B387F643423A3F4F9D5D6708A2B05E3E72B5C0147D040D5D3BA40F128FB9F7F,34396,28848,17,581,13016,org.telegram.ui,0,org.telegram.ui,17881,
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,18572,18615,14924,63,1162,io.ktor.client,0,io.ktor.client,565,
0EE9AEE643DEE087F7221212C0BF87B23DD451CDA7589AB3D04339E6E7668745,44963,40050,21939,689,2665,com.google.android,0,com.google.android,3614,
20E4DD695F2E2358736AFD226911EDF1ACA7E988AEC3E33005B7FB22D13BE10C,10294,9268,5433,141,1072,com.google.android,0,com.google.android,1424,
25689DB366425428AB6C683D1ABE2FC7A9DA2C5DE5132F23F1A194619B5AA141,215894,194957,182814,1517,1558,ru.sberbank.mobile,0,ru.sberbank.mobile,20339,
35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,4091,2663,25,205,656,com.google.android,0,com.google.android,1718,
36098542A5109843B1517F0F2B3667CB3EA0A84AD3B60E2DA658F5A398D3EE31,11027,6889,508,434,932,io.scanbot.sdk,0,io.scanbot.sdk,4441,
36619D4E2EA10AED11E8C77866ED5D167425548B1AD2C6D1EFF2850CA747A7AE,50167,41206,30272,209,2018,com.google.android,0,com.google.android,5679,
3AEAD4E3997767D098B6B77592AA056E7CDB06C1DA74A056A1397D0761D20CA1,73994,74767,67817,409,1302,com.google.android,0,com.google.android,742,
4639F77FE0014B8709F2A0A428665AB769AA2CBF0FD94161941EF6CB77FA154D,208055,157899,129457,441,3324,com.revolut.feature,0,com.revolut.feature,32828,
4A8C965A2C484F664CD4B426BE9F10A40BFF2EBE667A3983F889277BCC1B4C8E,4327,3578,2057,455,146,com.google.android,0,com.google.android,1549,
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,56945,35855,27111,179,2208,de.zalando.mobile,0,de.zalando.mobile,21821,
54FE2B7D1A0A2D38D80AED770DA7AAE620DD6BF556D072DF31CCB32F33A68B7A,52698,39074,549,968,6886,com.amazon.mShop,0,com.amazon.mShop,10512,
