sha256,app_name,package,perm_count_local,vt_perm_count,perm_diff_vt_minus_local,vt_perm_missing,local_perm_zero,mismatch
899FEA0EBC3F624C8BE992EA5FE1B9DD412DDF8E831F31E94151A59EBA734384,Yandex Maps,ru.yandex.yandexmaps,60,60,0,0,0,0
35154DA070E162CE661E5A7874030A052F71A40F8F0D72FD00D9DEDF8400AC0C,Google Maps,com.google.android.apps.maps,49,49,0,0,0,0
8287C5937FC7DA4A35602D3AABA2ECD2045389DE0CBC84899326C55326832958,Yandex Go Taxi,ru.yandex.taxi,64,64,0,0,0,0
B6101DA1A808E1DE0FFB8FFBBA7CEF2229E7DE08AA5D10AA6DE37D629CDF142F,Bolt,ee.mtakso.client,40,40,0,0,0,0
F82235296527716D0EFC61D2B5395DE977274E9D91252EBCB932A66276344383,RZD,ru.rzd.pass,62,62,0,0,0,0
36619D4E2EA10AED11E8C77866ED5D167425548B1AD2C6D1EFF2850CA747A7AE,DB Navigator,de.hafas.android.db,19,19,0,0,0,0
63659958182C27087D39B5D821C15FEFD311FE2A458CA5CB9BDF9F893B76022A,Yandex Trains,ru.yandex.rasp,29,29,0,0,0,0
0DDA4438798F8A0AA016687F06909F883CE54000A576BE80CDC9BC7729215525,Mobiliteit.lu,de.hafas.android.cdt,17,17,0,0,0,0
035B74D8B9E2838F2C12B8524E44FDB4161FCACE63902580F9538855B4136FAE,Ozon,ru.ozon.app.android,34,34,0,0,0,0
54FE2B7D1A0A2D38D80AED770DA7AAE620DD6BF556D072DF31CCB32F33A68B7A,Amazon Shopping,com.amazon.mShop.android.shopping,69,69,0,0,0,0
D8885060ADB877C9B12D331FE919192A45BC036AC163F2E794841FA590B2B588,Wildberries,com.wildberries.ru,53,53,0,0,0,0
539BE4416D6076B0F1E3F7883E0CD81384534B105AF04FDB587C3B04068DAF17,Zalando,de.zalando.mobile,25,,,1,0,0
9A07C0BBA5BC8E5A59230DA0853616327528FB7ED4FB29FFD814F9600231A98E,Yandex Market,ru.beru.android,38,38,0,0,0,0
D112060FE3DFE0438C210E30CE90669EC9D3EC5AF97D4EDE7BBA46D9A3FC672B,bol,com.bol.shop,24,24,0,0,0,0
6C4FCC752216A0ED5BE67C058A9ED6CAF1C8CFA70032C107EE23A3E8EF63CE44,Avito,com.avito.android,55,55,0,0,0,0
CA9CE3BA252AD0530AABAE16F6CEAF1206C10D352631AECE6C704790F1C285D8,Vinted,fr.vinted,29,29,0,0,0,0
25689DB366425428AB6C683D1ABE2FC7A9DA2C5DE5132F23F1A194619B5AA141,Sberbank,ru.sberbankmobile,68,68,0,0,0,0
E81541FB320BC58427611D50F6840C98F0D67D1AFD0B259342D996FB5BA03D66,BGL,lu.bgl.spm.retail,22,,,1,0,0
AEB8DD6E08F45707C0250F88B340D52A5DAB11D818C9BDD87DB4D64ACDB69DA5,Tinkoff,com.idamob.tinkoff.android,75,75,0,0,0,0
C43F18067802A90DA14D6CE8D0622782C8A594D8896B44994A32EC2E40EF409B,ING Luxembourg,com.ing.lu.mobile,11,11,0,0,0,0
EE840CCCB173415F19C6C05F77D90483507F5FA6E523452C6347DBFA68CAA106,Alfa Bank,ru.alfabank.oavdo.amc,46,46,0,0,0,0
4639F77FE0014B8709F2A0A428665AB769AA2CBF0FD94161941EF6CB77FA154D,Revolut,com.revolut.revolut,50,50,0,0,0,0
DFCA79723F76139789279379A3DCEEDB483E85F8500A53E74B2616A2FC6E7A3B,VTB,ru.vtb24.mobilebanking.android,63,63,0,0,0,0
F6433149E57CAA6551873324018736E03A4F5FD598B2FC3D6A1098EBAC29AF2B,BILnet,com.bil.android,26,26,0,0,0,0
73463E0B60F35128EE5868577CD003AB5295EDFBB0702A8EB1E494D1CE11663C,EMIAS.INFO,com.programmisty.emiasapp,40,40,0,0,0,0
